No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
10731   0.00329434       5    3270       166.47917      -77.348511     16.40
10734  8.33045e-05       5    3260       166.48965      -77.351357     57.53
10746    0.0109570       5    3455       167.06876      -77.336426      0.00
10775    0.0194265       5    3753       166.45900      -77.451248      6.49
10781    0.0450397       5    3780       166.84701      -77.477028      0.00
10784    0.0160429       5    3904       166.60791      -77.472816     16.84
10825   0.00101361       5    2854       166.72926      -77.482468      0.00
10840    0.0111713       5    3479       166.69812      -77.317352      0.00
10846    0.0121880       5    3594       166.15776      -77.440842      0.83
10848    0.0100438       5    3680       166.92931      -77.484077      0.00
10867   0.00213196       5    3973       166.69135      -77.397987     34.13
10868    0.0501424       5    4058       166.62955      -77.497528      0.00
10875    0.0602144       5    4457       166.77997      -77.449562     11.14
10896    0.0157800       5    3857       166.67500      -77.315750      0.00
10903  0.000450926       5    3015       166.29869      -77.467552      5.82
10908   0.00120325       5    3076       166.91150      -77.411995     11.21
10935  0.000461897       5    3068       166.76636      -77.385574     35.05
10936   0.00284932       5    3102       166.99100      -77.360306      0.00
10963   0.00621509       5    3273       166.81827      -77.304405      0.00
10970   0.00125544       5    3305       166.70911      -77.401482     23.14
10972   0.00243601       5    3291       166.52687      -77.352600     10.67
10981   0.00710711       5    3458       167.07706      -77.406998      0.00
11025    0.0338429       5    3745       166.51851      -77.298775      0.00
11075  0.000141911       5    2690       166.48485      -77.411278     23.22
11092   0.00570627       5    3517       166.36792      -77.474792      5.08
11102   0.00316453       5    3718       166.40753      -77.420868     25.30
11141   0.00998341       5    3561       167.09880      -77.401855      0.00
11172  0.000206643       5    3006       166.31355      -77.337418     33.93
11180   0.00139833       5    3088       166.71205      -77.332321      9.39
11216   0.00401300       5    3324       166.55605      -77.367142      2.76
11220   0.00213921       5    3292       166.42950      -77.420456     14.12
11241   0.00600479       5    3444       166.41699      -77.336639     12.30
11249    0.0170175       5    3616       166.71315      -77.352196     10.12
11251    0.0166650       5    3530       167.08728      -77.440453      0.00
11262    0.0647743       5    3925       167.03815      -77.336037      0.00
11330    0.0159477       5    3736       167.02155      -77.460472      0.00
11340    0.0460140       5    4066       166.25591      -77.474747      6.43
11343    0.0305033       5    4257       166.47922      -77.408783     14.85
11362   0.00161382       5    3550       166.74899      -77.332542      9.63
11379  0.000818118       5    3036       166.31853      -77.477280      3.44
11386   0.00112962       5    3011       166.78538      -77.448830      7.34
11392   0.00129098       5    3051       166.19853      -77.465889      1.81
11395  8.75539e-05       5    3235       166.84166      -77.397018     42.78
11397  8.79517e-05       5    3108       166.68337      -77.379318     49.16
11413   0.00698657       5    3148       166.88931      -77.478317      0.00
11438    0.0172861       5    3301       166.37852      -77.295685      0.00
11443   0.00746310       5    3427       167.04219      -77.369972      0.00
11466   0.00945413       5    3574       166.27634      -77.354294      8.88
11467   0.00513110       5    3556       166.44479      -77.423721     20.01
11472    0.0368481       5    3628       166.94144      -77.364799      0.00
11515  0.000133026       5    2987       166.72484      -77.356300     20.13
11529   0.00234281       5    3417       166.68080      -77.436104      5.97
11536   0.00295406       5    3437       166.29044      -77.484947      0.78
11547    0.0151532       5    3526       166.18219      -77.478043      0.00
11610   0.00194359       5    3028       166.90733      -77.444016      0.00
11612   0.00188330       5    3119       166.34322      -77.344170      2.47
11626  0.000586638       5    3110       166.35715      -77.392960     21.40
11628   0.00453554       5    3130       166.50890      -77.493324      0.55
11640   0.00375496       5    3044       167.01706      -77.310478      0.00
11644   0.00164240       5    3205       166.91231      -77.391495     13.93
11684   0.00583930       5    3512       166.33993      -77.447502     11.85
11699   0.00247693       5    3511       166.44333      -77.355927     18.58
11700   0.00300132       5    3517       166.69321      -77.409279     21.79
11708    0.0186701       5    3700       166.51370      -77.337730      7.69
11711    0.0200017       5    3714       167.06317      -77.469772      0.00
11715    0.0143179       5    3812       166.79964      -77.416931     11.56
11798    0.0593724       5    4067       167.03137      -77.464973      0.00
11839   0.00167883       5    3040       166.68288      -77.494324      0.00
11856   0.00143331       5    3060       166.97652      -77.343887      0.00
11859   0.00134586       5    3073       166.54430      -77.339226     11.92
11868  0.000526905       5    3202       166.39229      -77.474396     22.83
11869   0.00102347       5    3182       166.80412      -77.427452      8.90
11884   0.00314651       5    3212       166.72620      -77.471237      4.23
11886   0.00316200       5    3248       166.24475      -77.371017      2.66
11909   0.00385437       5    3270       166.39327      -77.397064      6.88
11915   0.00187376       5    3328       166.63205      -77.332642     18.30
11919   0.00978407       5    3426       167.03880      -77.313652      0.00
11936    0.0213731       5    3692       166.37404      -77.308266      0.00
11941   0.00866175       5    3758       166.68578      -77.418938     16.66
11975  0.000915842       5    2971       166.67691      -77.307899      0.00
11981   0.00106018       5    2876       167.03607      -77.353371      0.00
12000   0.00360730       5    3469       166.35437      -77.366333     14.65
12012    0.0135783       5    3631       166.25131      -77.352196      3.05
12018   0.00359545       5    3718       166.75609      -77.366646     23.65
12023    0.0167599       5    3792       166.16923      -77.306099      0.00
12035    0.0572880       5    4160       166.39874      -77.496025      0.00
12040    0.0270561       5    4418       166.25961      -77.426010     17.74
12045    0.0562148       5    4949       166.36305      -77.429604     13.01
12056    0.0583143       5    6075       166.26131      -77.385590     32.72
12060    0.0150699       5    3760       166.45480      -77.295624      0.00
12071  0.000798371       5    2985       166.83232      -77.478828      0.00
12076   0.00174494       5    2935       166.12700      -77.493156      0.00
12079  1.38000e-05       5    3071       166.67123      -77.378029     71.70
12087  0.000551875       5    3119       166.21526      -77.408966      8.51
12101   0.00182281       5    3109       167.00749      -77.400108      0.00
12108  0.000330766       5    3146       166.63435      -77.378021     26.98
12123   0.00855930       5    3201       166.69774      -77.487442      0.00
12131  0.000552422       5    3304       166.55185      -77.338165     28.30
12144   0.00466314       5    3334       166.42561      -77.368599     11.17
12145   0.00629969       5    3353       166.87089      -77.330452      0.00
12148   0.00878402       5    3454       167.03088      -77.341896      0.00
12162    0.0202532       5    3546       167.01308      -77.499893      0.00
12167   0.00273442       5    3537       166.62610      -77.371452     20.09
12176    0.0337360       5    3526       167.03133      -77.361008      0.00
12235   0.00265565       5    3371       166.55206      -77.303917      0.00
12245   0.00437619       5    3491       167.05716      -77.440216      0.00
12254   0.00571837       5    3618       166.79074      -77.439575     10.69
12258    0.0108184       5    3731       166.34863      -77.371101     11.48
12269    0.0224302       5    3817       166.16438      -77.339951      0.00
12299   0.00516302       5    3482       167.01422      -77.394707      0.00
12303   0.00194568       5    3820       166.81062      -77.341591     13.83
12314   0.00151987       5    3014       166.11603      -77.483414      0.00
12315  0.000378373       5    3025       166.80734      -77.337029     13.25
12325   0.00142235       5    3027       166.98401      -77.462921      0.00
12336   0.00153534       5    3028       166.11002      -77.378128      0.00
12340   0.00392129       5    3091       166.15022      -77.395332      0.88
12358   0.00308116       5    3244       166.94144      -77.486137      0.00
12374  0.000370502       5    3240       166.74658      -77.397079     31.27
12418   0.00857957       5    3501       166.37946      -77.416824     11.11
12420    0.0130587       5    3441       166.89887      -77.351120      0.00
12431   0.00596243       5    3558       166.89996      -77.421066     10.37
12433    0.0318111       5    3694       166.10782      -77.333694      0.00
12449    0.0620604       5    3789       167.03226      -77.319862      0.00
12453   0.00648835       5    3807       166.67631      -77.373611     26.29
12500  0.000454596       5    3317       166.74472      -77.461670     29.32
12522    0.0133311       5    3691       166.61249      -77.317696      0.00
12528    0.0206932       5    3671       166.41884      -77.444611      2.62
12582  0.000732387       5    3057       167.05925      -77.410172      0.00
12587   0.00188021       5    2954       166.48868      -77.295052      0.00
12590  0.000764083       5    3059       167.06160      -77.354889      0.00
12613   0.00440357       5    3027       166.92236      -77.342873      0.00
12620  0.000453679       5    3107       166.26765      -77.436951     19.71
12626   0.00519917       5    3207       166.20705      -77.363602      4.61
12636  0.000371862       5    3186       166.86685      -77.379723     29.99
12650    0.0110386       5    3376       166.72757      -77.442802      3.20
12665  1.64899e-05       5    3509       166.82314      -77.368835    615.01
12669    0.0161121       5    3468       166.25787      -77.342796      2.16
12677    0.0137181       5    3537       166.18520      -77.482140      0.00
12687    0.0361300       5    3690       167.09039      -77.423950      0.00
12689    0.0149983       5    3818       166.43294      -77.482674     13.66
12710  0.000446579       5    3054       166.21513      -77.449562      4.79
12715  0.000669925       5    2916       166.88997      -77.319901      0.00
12731  0.000986700       5    3356       166.30316      -77.412849     10.28
12734   0.00511330       5    3432       166.98035      -77.405075      0.00
12744   0.00649239       5    3522       166.21661      -77.381226      6.94
12746   0.00944918       5    3583       166.54069      -77.317978      4.79
12768    0.0330282       5    3949       166.20158      -77.468025      1.56
12778    0.0814090       5    4518       166.40442      -77.488930      4.90
12795   0.00365495       5    3878       166.79674      -77.327591      0.00
12800   0.00709767       5    3867       166.61960      -77.331169     16.58
12813  0.000647949       5    3101       166.97296      -77.407242      0.00
12822  0.000162081       5    3083       166.53589      -77.426735     25.15
12836  0.000852562       5    3155       166.76790      -77.346893     11.34
12842   0.00141538       5    3203       166.34256      -77.322411      9.34
12848   0.00250511       5    3179       166.73795      -77.412872     13.67
12862  0.000779668       5    3317       166.86417      -77.345741     19.87
12900    0.0194858       5    3382       166.91827      -77.475494      0.00
12908   0.00943830       5    3490       166.57059      -77.293152      0.00
12922   0.00124533       5    3798       166.56998      -77.352959     37.31
12932    0.0557748       5    3961       166.26065      -77.485336      0.09
12934    0.0226404       5    3921       166.78947      -77.415489     15.37
12936    0.0777747       5    4029       167.05508      -77.367195      0.00
12942    0.0593335       5    4668       166.33629      -77.370750     16.02
12989   0.00797952       5    3615       166.48080      -77.486237      2.79
13013    0.0714731       5    4415       166.19557      -77.383759      6.78
13016   0.00937545       5    4853       166.39208      -77.448586     36.21
13036    0.0448038       5    4010       166.75806      -77.323112      0.00
13045  5.98723e-05       5    3038       166.75259      -77.461159     36.41
13054   0.00107329       5    3156       166.71451      -77.479301      0.00
13061   0.00125028       5    3040       166.92690      -77.497551      0.00
13065  0.000997346       5    3116       166.92931      -77.414436      6.41
13086   0.00146244       5    3147       166.25743      -77.421967     23.17
13110  0.000580610       5    3358       166.58228      -77.363419     29.75
13116    0.0153176       5    3317       166.16432      -77.360016      2.45
13122   0.00240228       5    3412       166.42267      -77.426949     13.08
13123    0.0108055       5    3334       167.00891      -77.312561      0.00
13137    0.0116868       5    3513       167.08580      -77.462524      0.00
13149    0.0193953       5    3719       166.23431      -77.476639      0.95
13152   0.00102210       5    3778       166.70161      -77.382988     42.93
13154    0.0580162       5    3772       166.97870      -77.419922      0.00
13175  0.000469684       5    2953       166.87433      -77.473251      0.00
13178  0.000316861       5    2845       166.49020      -77.323402      4.56
13200   0.00825958       5    3421       166.50244      -77.492004      0.97
13215    0.0120753       5    3652       166.10547      -77.335442      0.00
13219   0.00906293       5    3657       166.32524      -77.465256      6.97
13221   0.00547022       5    3756       166.41513      -77.369865     15.41
13240    0.0811964       5    4557       166.18869      -77.453430      3.55
13241    0.0626414       5    4623       166.72910      -77.420341      9.24
13268   0.00160706       5    3760       166.35863      -77.409302     19.80
13286   0.00115294       5    2993       166.99056      -77.381363      0.00
13288   0.00156462       5    3048       166.11340      -77.319870      0.00
13293  0.000165810       5    3007       166.24454      -77.399742     22.99
13305   0.00154994       5    3169       166.99559      -77.311859      0.00
13310   0.00309752       5    3158       166.79997      -77.310570      0.00
13325   0.00658135       5    3231       166.92778      -77.294151      0.00
13337   0.00228401       5    3192       166.63457      -77.440102      7.53
13342  0.000394105       5    3272       166.25082      -77.405479     32.36
13361   0.00809318       5    3380       166.67348      -77.306015      0.00
13363   0.00866403       5    3358       167.00323      -77.417984      0.00
13370    0.0100457       5    3386       166.21137      -77.339645      0.77
13381    0.0137387       5    3595       166.21263      -77.358498      2.87
13428  0.000886430       5    2812       166.29852      -77.310349      0.00
13430  0.000517310       5    2567       166.47064      -77.311302      0.00
13459  0.000432485       5    3648       166.89755      -77.380974     50.03
13478    0.0450940       5    4100       166.94635      -77.325974      0.00
13479    0.0312342       5    4064       166.54944      -77.456009      9.23
13481    0.0667688       5    4159       166.95323      -77.479172      0.00
13507   0.00329746       5    3985       166.52714      -77.457329     20.57
13510    0.0713014       5    4347       167.04066      -77.460396      0.00
13556   0.00246418       5    3122       166.59271      -77.425110     12.17
13557  0.000182616       5    3218       166.62277      -77.390884     43.56
13560   0.00117393       5    3217       166.83664      -77.352196     19.15
13561   0.00550479       5    3119       166.19273      -77.296448      0.00
13570   0.00330405       5    3256       166.54688      -77.303223      0.00
13571   0.00390343       5    3269       167.05684      -77.437782      0.00
13575  0.000919882       5    3246       166.79504      -77.406555     22.93
13579   0.00239432       5    3303       166.57916      -77.472359      7.98
13587   0.00471318       5    3333       166.57184      -77.452660      8.62
13607    0.0106761       5    3570       167.06012      -77.433044      0.00
13613    0.0132683       5    3622       166.20219      -77.316025      0.00
13619    0.0577302       5    3860       166.24771      -77.294380      0.00
13628   0.00163727       5    4367       166.66823      -77.390793     62.90
13641    0.0848072       5    5695       166.37501      -77.393234     24.72
13659   0.00154751       5    3262       166.93510      -77.430794      7.30
13662   0.00295396       5    3356       167.00696      -77.311874      0.00
13666   0.00108467       5    3354       166.31601      -77.418648     11.72
13694   0.00623548       5    3747       166.90587      -77.390350     13.95
13704    0.0145817       5    3817       166.46901      -77.479599      5.42
13709    0.0472415       5    4119       166.26465      -77.372612      2.62
13791   0.00493788       5    3110       166.15750      -77.323807      0.00
13802   0.00271591       5    3248       166.21995      -77.351631      0.31
13815   0.00235476       5    3283       166.26770      -77.406891      9.81
13838    0.0154687       5    3554       166.55380      -77.492477      0.79
13856   0.00401625       5    3597       166.54540      -77.356117     21.67
13862   0.00931976       5    3550       166.48322      -77.468414      5.17
13871    0.0457692       5    3816       166.96493      -77.312691      0.00
13878    0.0557436       5    4337       166.34241      -77.437920     13.45
13917   0.00256668       5    3425       166.71080      -77.481567      0.00
13929   0.00399215       5    3604       166.26967      -77.402061     11.97
13930   0.00813774       5    3519       166.57250      -77.291893      0.00
13931    0.0105329       5    3567       166.76680      -77.486359      0.00
13943  0.000595035       5    3595       166.69156      -77.373833     41.36
13946    0.0125753       5    3697       166.18346      -77.399246      2.51
13951    0.0132157       5    3814       166.22208      -77.383789      6.45
13955  0.000466072       5    3866       166.54163      -77.407181     45.81
13997    0.0370052       5    5774       166.36743      -77.451248     22.61
14000  0.000596767       5    2991       166.63844      -77.296783      0.00
14004  0.000954564       5    2979       167.01204      -77.492493      0.00
14005  0.000490635       5    3003       166.43283      -77.454903      7.73
14015  7.09592e-05       5    3061       166.83838      -77.408607     36.63
14018  0.000857520       5    3103       166.26755      -77.362793     16.95
14025  0.000538545       5    3202       166.68921      -77.417366     15.84
14027   0.00220161       5    3099       166.10815      -77.309303      0.00
14047   0.00263703       5    3204       167.07367      -77.316414      0.00
14058   0.00411384       5    3286       166.11351      -77.388618      0.00
14061   0.00303736       5    3265       166.22826      -77.392715      4.45
14062   0.00646122       5    3214       167.03679      -77.425224      0.00
14063  0.000764542       5    3295       166.55600      -77.329475     23.96
14074   0.00285485       5    3348       166.63008      -77.471367      8.00
14079   0.00587516       5    3399       166.16946      -77.418816      1.66
14089    0.0110407       5    3516       166.81636      -77.452332      3.60
14111   0.00120691       5    3773       166.61850      -77.390182     46.59
14144  0.000816997       5    2968       166.96799      -77.302658      0.00
14149   0.00125995       5    3298       166.77423      -77.314896      0.00
14159   0.00143843       5    3475       166.92532      -77.370911     18.63
14163   0.00405786       5    3475       166.86821      -77.485191      0.00
14176   0.00646239       5    3675       166.44672      -77.319923      3.66
14177   0.00724266       5    3684       166.95116      -77.313477      0.00
14182    0.0118549       5    3732       166.11427      -77.488266      0.00
14193    0.0211578       5    3768       166.83025      -77.471863      0.00
14203    0.0506895       5    4064       166.96767      -77.427925      0.00
14220    0.0191627       5    5696       166.90329      -77.366486     35.30
14235   0.00583408       5    3894       166.36377      -77.396255     10.95
14237    0.0384200       5    3959       166.99498      -77.460808      0.00
14247  0.000354545       5    3059       166.75763      -77.469101     12.29
14255  9.17125e-05       5    3056       166.34453      -77.360306     29.07
14259  0.000891951       5    3085       166.70473      -77.484879      0.00
14271  0.000692353       5    3166       166.86980      -77.361336     20.46
14313   0.00695011       5    3343       166.24651      -77.341141      1.73
14348    0.0156819       5    3542       166.98958      -77.471741      0.00
14367    0.0743708       5    3916       167.05072      -77.320290      0.00
14372    0.0216995       5    4469       166.54321      -77.430450     23.19
14396  0.000493567       5    2744       166.17012      -77.440163      1.41
14397   0.00189829       5    3244       166.20406      -77.459908      2.89
14403   0.00409302       5    3349       166.13045      -77.293091      0.00
14404   0.00191827       5    3398       166.87030      -77.441734      9.01
14410   0.00195938       5    3550       166.17963      -77.363586      3.57
14415   0.00102311       5    3544       166.65222      -77.369095     28.17
14424   0.00712549       5    3573       167.01634      -77.476227      0.00
14436    0.0216041       5    3687       167.06995      -77.329308      0.00
14443    0.0164147       5    3830       166.53818      -77.494347      0.20
14447   0.00846252       5    3918       166.54774      -77.363113     12.67
14458    0.0282360       5    4582       166.43590      -77.405113     15.54
14484   0.00640785       5    3685       166.19470      -77.399185      3.81
14487    0.0156930       5    3933       166.95204      -77.445511      0.00
14504  0.000433726       5    3091       166.45076      -77.318291      2.84
14517   0.00296509       5    3152       166.81073      -77.316994      0.00
14539  0.000243701       5    3219       166.28159      -77.441078     34.34
14541  0.000673882       5    3125       166.26361      -77.470802     14.68
14560   0.00314281       5    3304       166.23624      -77.391869      1.07
14562   0.00239980       5    3319       166.55753      -77.421104     19.67
14566   0.00142036       5    3363       166.34994      -77.440201     13.54
14574    0.0182289       5    3407       166.56517      -77.290298      0.00
14586    0.0174588       5    3571       167.02760      -77.433868      0.00
14591   0.00476827       5    3507       166.36070      -77.326653     11.57
14597    0.0306092       5    3652       167.03717      -77.326065      0.00
14630  0.000990850       5    3022       166.10165      -77.473427      0.00
14635   0.00275467       5    3214       166.34940      -77.482658      2.53
14651   0.00839820       5    3571       166.19383      -77.464142      1.97
14675    0.0283318       5    3929       166.62987      -77.312157      0.00
14712   0.00574836       5    3796       166.44507      -77.362411      4.14
14736  0.000393409       5    3052       166.55403      -77.379753     16.72
14741  0.000834922       5    3099       166.34125      -77.471283      5.56
14745  0.000807514       5    3170       166.52190      -77.348083     10.43
14748   0.00156734       5    3237       166.95378      -77.424507      0.00
14752   0.00262324       5    3166       166.97226      -77.408539      0.00
14755  0.000762027       5    3114       166.83417      -77.432632     20.52
14762  0.000631571       5    3172       166.73248      -77.408104     15.69
14775   0.00817046       5    3330       166.51546      -77.302910      0.00
14784   0.00311290       5    3380       166.77882      -77.462234      4.92
14786    0.0101483       5    3329       166.17459      -77.416725      1.93
14801   0.00282720       5    3455       166.61314      -77.333740     18.73
14825    0.0414375       5    4037       166.73106      -77.467049      4.73
14847  0.000808748       5    2879       166.23820      -77.311874      0.00
14850  0.000156262       5    2160       166.86571      -77.361984     18.95
14858  0.000606144       5    3451       166.60156      -77.437737     22.69
14865   0.00570826       5    3451       166.88078      -77.345131      0.00
14868   0.00178467       5    3477       166.65675      -77.319839     12.25
14879   0.00770367       5    3676       166.14372      -77.487495      0.00
14881    0.0115115       5    3585       166.14728      -77.401497      0.68
14883  6.11415e-05       5    3685       166.51491      -77.403175     62.75
14887    0.0140572       5    3692       166.95799      -77.454399      0.00
14889    0.0104441       5    3711       166.60867      -77.462814      2.26
14890    0.0107021       5    3816       167.07219      -77.466576      0.00
14897   0.00491467       5    3848       166.64168      -77.331543     19.14
14935  0.000188447       5    3655       166.77783      -77.390511     46.94
14954  0.000950179       5    3009       166.96587      -77.490456      0.00
14964   0.00102977       5    3091       166.83194      -77.327156      0.00
14979   0.00341598       5    3186       166.10400      -77.387772      0.00
14983   0.00325720       5    3256       166.43300      -77.296776      0.00
14984   0.00136852       5    3157       166.44257      -77.421837     18.10
14992   0.00191317       5    3174       166.54457      -77.348145     17.14
15028  8.12053e-05       5    3297       166.57785      -77.344398     59.63
15029   0.00552138       5    3380       166.25186      -77.459938      4.14
15031   0.00173698       5    3373       166.43086      -77.434143     19.47
15045    0.0128426       5    3640       166.15706      -77.453476      0.58
15064    0.0429854       5    4057       166.42049      -77.361061      2.94
15066    0.0645912       5    4123       166.95378      -77.364021      0.00
15070    0.0283052       5    4321       166.40474      -77.392876     17.56
15095   0.00139300       5    3246       166.57518      -77.370201     10.14
15096  5.88077e-05       5    3235       166.50081      -77.392731     45.83
15130   0.00979173       5    3736       166.33623      -77.478355      3.50
15134    0.0191278       5    3750       166.96324      -77.443214      0.00
15136   0.00140810       5    3843       166.56479      -77.352692     35.20
15137    0.0228268       5    3856       166.91849      -77.317909      0.00
15138    0.0301817       5    3865       167.03433      -77.313637      0.00
15163    0.0826937       5    5649       166.27460      -77.386963     13.29
15173   0.00164950       5    3460       166.77205      -77.345680     10.54
15234   0.00319680       5    3178       166.43355      -77.303528      0.00
15245   0.00743409       5    3275       166.30470      -77.319313      5.87
15251   0.00921087       5    3404       166.37038      -77.342041      3.99
15267   0.00247087       5    3568       166.41731      -77.484375     17.71
15268    0.0158432       5    3484       167.07208      -77.340080      0.00
15269   0.00168389       5    3464       166.87166      -77.345413     19.15
15291    0.0802488       5    4045       166.97974      -77.418060      0.00
15293    0.0272876       5    4222       166.55998      -77.425758     15.50
15316   0.00213855       5    3358       166.78526      -77.290672      0.00
15319   0.00316260       5    3326       166.80806      -77.489479      0.00
15324   0.00408791       5    3372       167.07596      -77.310837      0.00
15332   0.00599192       5    3472       166.16597      -77.429855      1.38
15336   0.00705331       5    3677       166.25629      -77.499634      0.00
15343   0.00148030       5    3642       166.41753      -77.468025     18.16
15364    0.0263337       5    3784       166.49840      -77.314697      0.00
15367    0.0145868       5    4026       166.73074      -77.409348     15.30
15372   0.00159063       5    4257       166.78462      -77.394707     50.20
15374   0.00197544       5    4284       166.29372      -77.449753     47.25
15377    0.0442953       5    4579       166.79413      -77.438911      9.72
15386    0.0705273       5    5558       166.71188      -77.409546     15.64
15406   0.00562119       5    3823       166.75702      -77.355858     16.29
15415  0.000727654       5    3083       166.19038      -77.459625      2.62
15421  9.93766e-05       5    3104       166.41628      -77.394455     28.91
15446   0.00140885       5    3136       166.43715      -77.344696      6.82
15447   0.00446185       5    3202       167.07384      -77.292297      0.00
15455  0.000639144       5    3128       166.39578      -77.382736     30.44
15482   0.00547670       5    3377       166.77112      -77.479301      0.00
15489   0.00624953       5    3304       166.80696      -77.319252      0.00
15505   0.00544232       5    3602       166.60375      -77.434967     14.46
15513   0.00663893       5    3685       166.80078      -77.413528     13.32
15550   0.00208276       5    3222       166.47185      -77.451904      6.60
15558   0.00433016       5    3455       166.85248      -77.331581      0.00
15567   0.00255562       5    3525       167.07536      -77.299911      0.00
15598    0.0420491       5    4022       166.84346      -77.295502      0.00
15606    0.0592869       5    4241       166.90909      -77.341690      0.00
15637   0.00393624       5    3657       166.13744      -77.393082      0.26
15642   0.00902881       5    3790       166.18553      -77.395187      3.60
15663   0.00100819       5    3127       166.96761      -77.400871      0.00
15670   0.00188560       5    3051       166.23148      -77.323280      0.00
15680  0.000878094       5    3114       166.76244      -77.320602      0.00
15686  0.000133905       5    3140       166.36786      -77.442474     29.65
15691  0.000364061       5    3199       166.54923      -77.420944     22.34
15693   0.00130025       5    3178       166.26859      -77.473061     14.34
15703   0.00106153       5    3129       166.31940      -77.429802     10.05
15705  0.000473207       5    3188       166.42273      -77.419121     18.11
15736   0.00518226       5    3367       166.12685      -77.334320      0.00
15765    0.0276667       5    4558       166.64117      -77.427589     21.64
15774    0.0116498       5    5663       166.39633      -77.376343     50.36
15781  0.000434716       5    2830       166.44437      -77.405113      5.31
15796   0.00154356       5    3431       166.48529      -77.369957     17.45
15802   0.00460705       5    3512       166.88711      -77.345192      0.00
15810   0.00666928       5    3618       167.08624      -77.365395      0.00
15812   0.00758870       5    3542       167.00700      -77.488266      0.00
15827    0.0238842       5    3778       166.19591      -77.478729      0.00
15832    0.0385618       5    4012       167.08798      -77.357018      0.00
15836    0.0103909       5    4123       166.35765      -77.389633     20.73
15891   0.00160348       5    3094       166.75456      -77.479881      0.00
15899  0.000182441       5    3087       166.34683      -77.404099     37.74
15910   0.00229478       5    3112       166.42453      -77.300919      0.00
15928   0.00333233       5    3294       166.25908      -77.474167      9.71
15929  0.000854025       5    3291       166.59621      -77.333069     28.01
15948   0.00986550       5    3393       167.04727      -77.300957      0.00
15962    0.0110798       5    3670       166.29835      -77.321991      2.80
15970    0.0128988       5    3783       166.17334      -77.370567      4.06
15977    0.0882152       5    4124       167.01422      -77.420815      0.00
15986    0.0483052       5    5238       166.46944      -77.325737     20.00
16044    0.0141642       5    3689       166.98149      -77.429886      0.00
16069    0.0843930       5    5147       166.79652      -77.447662      6.75
16085   0.00278164       5    3372       166.28618      -77.493179      0.00
16141   0.00295846       5    3131       166.81177      -77.331703      0.00
16145   0.00186183       5    3086       166.79674      -77.297440      0.00
16147   0.00156474       5    3170       166.42218      -77.433372      8.62
16151   0.00386469       5    3202       167.02045      -77.457985      0.00
16156   0.00296425       5    3180       166.95875      -77.376015      0.00
16168   0.00245218       5    3316       166.64926      -77.350052      7.42
16169    0.0132911       5    3411       166.48157      -77.311081      0.00
16178   0.00255484       5    3496       166.84314      -77.434700     14.31
16197    0.0156061       5    3488       166.46573      -77.310280      0.00
16199    0.0134726       5    3693       166.98585      -77.442696      0.00
16211  8.41656e-05       5    4208       166.50873      -77.418831     99.17
16222    0.0299230       5    5847       166.30930      -77.339806     33.03
16230  3.48534e-05       5    2718       166.56692      -77.401718     35.82
16231  0.000217134       5    3286       166.62938      -77.389763     39.26
16239   0.00241463       5    3338       166.18443      -77.439064      2.55
16240   0.00314607       5    3472       166.53671      -77.304001      0.00
16265    0.0131123       5    3590       166.36267      -77.303497      0.00
16271    0.0110265       5    3824       166.98406      -77.426842      0.00
16293    0.0403056       5    4173       166.30301      -77.395645      2.09
16295    0.0657658       5    4366       166.13231      -77.307343      0.00
16315  0.000241224       5    6018       166.81795      -77.372047   1005.69
16324   0.00415102       5    3690       166.34961      -77.453728     10.72
16329   0.00840309       5    3841       166.23628      -77.331291      0.40
16334  2.47323e-05       5    4073       166.50938      -77.413857     90.95
16347  0.000746691       5    3081       166.80882      -77.297935      0.00
16351  0.000774486       5    3035       166.73375      -77.460114     10.35
16371   0.00275337       5    3108       166.43283      -77.489082      0.17
16398   0.00999648       5    3332       166.12744      -77.405708      0.00
16401   0.00319630       5    3294       166.13547      -77.440422      0.00
16415   0.00403487       5    3448       166.65167      -77.331207     15.90
16475   0.00114405       5    3348       166.52452      -77.474655      8.44
16481   0.00397284       5    3362       166.87215      -77.493927      0.00
16483   0.00273412       5    3441       166.28853      -77.480202      2.07
16495   0.00792011       5    3601       166.25404      -77.333481      1.03
16507   0.00509562       5    3747       166.55162      -77.326653     10.13
16511   0.00540873       5    3675       166.28673      -77.479004      2.39
16569  0.000782384       5    3002       166.59271      -77.313026      0.00
16578  0.000471977       5    3034       166.38158      -77.348434     13.37
16589  0.000397204       5    3043       166.67725      -77.327202     10.45
16613   0.00221789       5    3130       167.08940      -77.421791      0.00
16618   0.00676416       5    3247       166.12073      -77.487831      0.00
16664    0.0127702       5    3501       166.81194      -77.457443      4.21
16668    0.0117112       5    3516       166.49785      -77.448021      2.28
16676   0.00588435       5    3705       166.67545      -77.355362     13.04
16687    0.0672229       5    4448       166.22377      -77.393288      6.85
16710  0.000302850       5    3300       166.26531      -77.453255     17.21
16717   0.00256873       5    3437       166.16038      -77.291046      0.00
16722   0.00514714       5    3522       166.22935      -77.356644      0.95
16751    0.0172548       5    3768       166.98460      -77.425102      0.00
16760    0.0438651       5    4068       167.02061      -77.304489      0.00
16763    0.0115519       5    4180       166.74768      -77.431847     18.13
16795   0.00638615       5    3753       166.94624      -77.378090      0.00
16809  0.000500971       5    2898       166.12416      -77.469307      0.00
