No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
1774   0.00252642       5    2968       166.47081      -77.386520      6.37
1781  8.91580e-06       5    3053       166.50714      -77.414345     93.35
1786    0.0199671       5    3164       167.04450      -77.385307      0.00
1787   0.00344248       5    3090       166.28159      -77.403015     12.08
1800   0.00837377       5    3119       166.41775      -77.316185      1.56
1801    0.0120502       5    3172       166.26520      -77.332848      1.21
1821    0.0335054       5    3222       166.13350      -77.413261      0.00
1825    0.0238654       5    3261       166.56911      -77.322830     15.70
1831    0.0439196       5    3411       166.36005      -77.417511     13.50
1833   0.00853059       5    3383       166.80078      -77.401764     25.34
1834    0.0183483       5    3378       166.35634      -77.382332      8.21
1836    0.0864503       5    3476       166.56686      -77.447708      5.34
1838    0.0698424       5    3449       167.06744      -77.291496      0.00
1840    0.0224783       5    3507       166.73604      -77.411522     14.39
1846    0.0679350       5    3537       166.12384      -77.351936      0.00
1849    0.0751394       5    3654       167.09247      -77.409264      0.00
1853    0.0421278       5    3565       166.63397      -77.342918      9.36
1855    0.0680082       5    3740       166.51872      -77.357513     11.74
1876   0.00190580       5    2971       166.24606      -77.427895      5.17
1904   0.00457868       5    3068       167.04668      -77.480850      0.00
1919   0.00341157       5    3212       166.76189      -77.451981     16.61
1921  9.19424e-05       5    3182       166.67255      -77.383194     67.93
1961    0.0208078       5    3620       166.48698      -77.397552     16.14
1962   0.00507201       5    3632       166.52217      -77.396523     44.48
1974    0.0319998       5    4141       166.74260      -77.394066     38.35
1987   0.00233519       5    3107       166.39896      -77.358269      4.04
2004   0.00143271       5    2335       166.42758      -77.306839      0.00
2008    0.0163665       5    3315       166.12482      -77.459343      0.00
2032   0.00283169       5    3108       166.50545      -77.352509      6.05
2033  0.000500835       5    2977       166.52518      -77.441734     28.34
2038   0.00626515       5    3082       166.18001      -77.370529      4.64
2042   0.00504426       5    3090       166.95499      -77.404762      7.94
2054   0.00926276       5    3134       167.01077      -77.409531      0.00
2072   0.00662988       5    3231       166.87007      -77.360634     20.56
2074    0.0227395       5    3371       166.16443      -77.407822      1.50
2088    0.0824364       5    3410       167.01170      -77.445206      0.00
2091    0.0458056       5    3440       167.04843      -77.352493      0.00
2093    0.0549659       5    3488       166.79970      -77.498260      0.00
2099    0.0410745       5    3593       166.53070      -77.474998      5.12
2147    0.0567666       5    3678       166.32590      -77.312546      0.00
2173   0.00732185       5    3003       167.09302      -77.359169      0.00
2174   0.00667009       5    3123       166.39688      -77.322662      5.22
2183    0.0129986       5    3130       166.67539      -77.469223      5.73
2184    0.0149763       5    3046       166.28661      -77.296333      0.00
2190    0.0124377       5    3116       166.17886      -77.342857      0.39
2227    0.0560944       5    3446       166.92827      -77.327263      0.00
2245   0.00915745       5    3771       166.90536      -77.382202     38.75
2265   0.00113563       5    3039       166.31372      -77.406288     13.93
2298   0.00617134       5    2983       166.69632      -77.446304      8.11
2299  0.000295474       5    3015       166.32420      -77.338135     33.30
2304   0.00462279       5    3100       166.33682      -77.451828     10.97
2342    0.0135430       5    3258       166.42218      -77.474182      8.88
2348    0.0230416       5    3335       166.51349      -77.473755      4.58
2368    0.0398217       5    3446       167.01073      -77.467110      0.00
2372   0.00307498       5    3407       166.83254      -77.389305     44.37
2427   0.00103174       5    2790       166.18771      -77.362762      3.74
2432    0.0373279       5    3512       166.56879      -77.481667      1.46
2449   0.00846069       5    2996       166.90253      -77.450493      0.00
2453   0.00551521       5    3090       166.28891      -77.429649      8.90
2467  0.000689706       5    3207       166.29831      -77.448792     49.80
2508    0.0356877       5    3380       166.91110      -77.496956      0.00
2515   0.00213312       5    3450       166.89160      -77.381752     44.67
2547  0.000597113       5    2962       166.62593      -77.342018     11.94
2548   0.00231529       5    2986       166.70937      -77.466904      3.08
2556   0.00384511       5    3248       166.62785      -77.355873     13.02
2561    0.0210171       5    3378       166.12920      -77.385132      0.00
2587   0.00356291       5    3012       166.97368      -77.463524      0.00
2597   0.00708378       5    3109       166.88231      -77.493805      0.00
2601   0.00290224       5    3051       166.33629      -77.333214      9.78
2607   0.00517432       5    3179       166.18907      -77.376564      5.87
2608  0.000492827       5    3002       166.39038      -77.463997     38.29
2613   0.00924572       5    3134       167.08635      -77.334999      0.00
2621    0.0163150       5    3081       166.26289      -77.366959      8.47
2647   0.00600745       5    3356       166.60851      -77.479256     17.72
2650    0.0866402       5    3449       166.91334      -77.347076      0.00
2657    0.0812755       5    3418       166.68095      -77.297844      0.00
2668   0.00285830       5    3455       166.69604      -77.388435     37.56
2711   0.00516759       5    3006       167.03351      -77.408951      0.00
2713  0.000236606       5    3026       166.29547      -77.439949     35.94
2784    0.0149250       5    3213       166.76112      -77.474953      0.00
2793   0.00542893       5    3257       166.58157      -77.374428     18.50
2868   0.00124800       5    2900       166.53545      -77.499794      0.00
2873  0.000622390       5    2572       166.11296      -77.328384      0.00
2878   0.00121136       5    3328       166.34650      -77.392372     19.49
2879   0.00815713       5    3376       166.50005      -77.453964      6.06
2884    0.0254393       5    3678       166.84515      -77.439949      9.08
2908  0.000336740       5    2990       166.53572      -77.386475     27.94
2922   0.00457135       5    3096       166.65424      -77.449097     16.89
2927    0.0198400       5    3071       167.08728      -77.420219      0.00
2930    0.0191223       5    3065       167.06340      -77.313248      0.00
2948   0.00883166       5    3178       166.38765      -77.330490     18.58
2954    0.0254207       5    3222       166.35907      -77.347755      5.17
2955    0.0180896       5    3149       166.38507      -77.385384      0.69
2956    0.0221164       5    3200       166.97324      -77.459908      0.00
3027  0.000702878       5    2774       166.77872      -77.332375     11.02
3028  3.91980e-05       5    2734       166.71237      -77.382553     39.01
3035   0.00351917       5    3438       166.62512      -77.355423     13.89
3038    0.0475619       5    3606       167.07848      -77.408279      0.00
3048   0.00307451       5    3514       166.26448      -77.394585     22.72
3054  0.000628809       5    3022       166.76532      -77.385101     33.34
3057   0.00317059       5    3079       166.39716      -77.291809      0.00
3068   0.00717696       5    3090       167.05286      -77.474060      0.00
3081    0.0156572       5    3186       166.94434      -77.492493      0.00
