wavelength       flux
  microns         mJy
      
     0.800134    0.0896081
     0.800401    0.0936570
     0.800668    0.0938016
     0.800935    0.0937266
     0.801202    0.0940298
     0.801469    0.0939713
     0.801736    0.0941480
     0.802003    0.0940332
     0.802270    0.0940654
     0.802538    0.0941809
     0.802805    0.0932613
     0.803073    0.0922988
     0.803340    0.0942388
     0.803608    0.0938509
     0.803876    0.0941655
     0.804145    0.0942369
     0.804412    0.0942707
     0.804680    0.0936416
     0.804949    0.0891692
     0.805217    0.0939678
     0.805485    0.0942905
     0.805754    0.0938762
     0.806022    0.0944624
     0.806291    0.0944381
     0.806560    0.0943643
     0.806829    0.0944572
     0.807098    0.0939240
     0.807367    0.0934236
     0.807636    0.0926856
     0.807905    0.0946105
     0.808174    0.0942098
     0.808444    0.0944701
     0.808713    0.0916159
     0.808983    0.0947404
     0.809253    0.0942078
     0.809523    0.0936903
     0.809792    0.0940053
     0.810062    0.0932776
     0.810332    0.0946630
     0.810602    0.0946505
     0.810872    0.0947121
     0.811143    0.0946020
     0.811413    0.0947100
     0.811683    0.0946745
     0.811954    0.0944849
     0.812225    0.0949300
     0.812495    0.0950188
     0.812766    0.0947788
     0.813037    0.0949539
     0.813308    0.0948366
     0.813579    0.0951207
     0.813850    0.0949803
     0.814122    0.0949541
     0.814393    0.0950347
     0.814664    0.0951268
     0.814936    0.0951465
     0.815208    0.0945918
     0.815479    0.0951987
     0.815751    0.0951286
     0.816023    0.0952961
     0.816296    0.0948927
     0.816567    0.0949945
     0.816839    0.0953499
     0.817112    0.0952372
     0.817384    0.0953878
     0.817657    0.0952428
     0.817930    0.0954549
     0.818202    0.0948033
     0.818475    0.0898267
     0.818747    0.0952713
     0.819020    0.0948325
     0.819293    0.0956437
     0.819567    0.0921147
     0.819840    0.0907255
     0.820113    0.0937147
     0.820386    0.0954680
     0.820660    0.0943535
     0.820933    0.0944327
     0.821207    0.0955071
     0.821480    0.0923206
     0.821754    0.0955396
     0.822028    0.0957627
     0.822302    0.0901251
     0.822576    0.0957939
     0.822850    0.0959827
     0.823125    0.0957388
     0.823399    0.0931394
     0.823674    0.0958254
     0.823949    0.0959031
     0.824223    0.0942032
     0.824498    0.0958264
     0.824773    0.0961495
     0.825048    0.0946773
     0.825323    0.0959795
     0.825598    0.0960925
     0.825873    0.0958602
     0.826148    0.0961905
     0.826423    0.0962344
     0.826699    0.0960800
     0.826974    0.0960390
     0.827250    0.0961723
     0.827527    0.0961193
     0.827802    0.0961256
     0.828077    0.0963323
     0.828353    0.0962989
     0.828630    0.0964098
     0.828906    0.0961728
     0.829183    0.0963676
     0.829459    0.0951214
     0.829735    0.0961902
     0.830012    0.0962450
     0.830289    0.0964005
     0.830565    0.0962709
     0.830842    0.0949811
     0.831119    0.0956812
     0.831396    0.0958309
     0.831674    0.0965454
     0.831951    0.0961258
     0.832228    0.0964361
     0.832505    0.0965657
     0.832783    0.0939113
     0.833061    0.0891612
     0.833338    0.0945424
     0.833616    0.0961256
     0.833893    0.0966186
     0.834171    0.0957234
     0.834449    0.0964309
     0.834728    0.0948549
     0.835006    0.0955487
     0.835284    0.0969496
     0.835563    0.0965070
     0.835841    0.0969386
     0.836120    0.0966097
     0.836399    0.0966410
     0.836678    0.0936810
     0.836957    0.0971152
     0.837235    0.0968511
     0.837515    0.0969640
     0.837794    0.0971235
     0.838073    0.0954101
     0.838353    0.0952413
     0.838632    0.0955467
     0.838911    0.0872580
     0.839191    0.0957424
     0.839471    0.0972890
     0.839750    0.0972761
     0.840030    0.0956766
     0.840310    0.0961117
     0.840590    0.0972664
     0.840870    0.0973458
     0.841151    0.0974212
     0.841431    0.0953918
     0.841712    0.0974102
     0.841992    0.0961763
     0.842273    0.0973518
     0.842554    0.0964205
     0.842835    0.0948717
     0.843116    0.0975861
     0.843397    0.0974476
     0.843678    0.0915516
     0.843959    0.0975564
     0.844240    0.0955056
     0.844522    0.0975422
     0.844803    0.0973364
     0.845085    0.0975815
     0.845366    0.0972898
     0.845648    0.0977013
     0.845930    0.0975459
     0.846213    0.0976710
     0.846494    0.0978011
     0.846776    0.0975333
     0.847058    0.0910567
     0.847341    0.0973448
     0.847623    0.0978935
     0.847906    0.0978927
     0.848189    0.0977453
     0.848471    0.0974458
     0.848754    0.0978696
     0.849037    0.0977912
     0.849320    0.0976443
     0.849603    0.0969172
     0.849886    0.0845438
     0.850170    0.0817027
     0.850453    0.0964703
     0.850736    0.0975277
     0.851020    0.0978406
     0.851304    0.0978775
     0.851587    0.0924317
     0.851871    0.0955079
     0.852156    0.0965307
     0.852439    0.0978530
     0.852723    0.0976582
     0.853008    0.0961252
     0.853292    0.0970166
     0.853577    0.0962092
     0.853861    0.0934968
     0.854146    0.0840918
     0.854431    0.0568184
     0.854715    0.0824095
     0.855000    0.0928380
     0.855285    0.0961351
     0.855570    0.0972845
     0.855856    0.0968477
     0.856141    0.0979668
     0.856426    0.0980637
     0.856712    0.0982042
     0.856997    0.0982761
     0.857283    0.0983326
     0.857569    0.0983494
     0.857854    0.0984285
     0.858140    0.0986253
     0.858426    0.0962752
     0.858712    0.0985060
     0.858999    0.0986568
     0.859285    0.0987581
     0.859572    0.0985060
     0.859858    0.0985196
     0.860145    0.0980820
     0.860432    0.0987263
     0.860718    0.0984615
     0.861005    0.0987914
     0.861292    0.0951123
     0.861579    0.0985600
     0.861867    0.0983018
     0.862154    0.0988902
     0.862441    0.0966458
     0.862729    0.0988236
     0.863016    0.0990224
     0.863304    0.0989304
     0.863591    0.0988598
     0.863880    0.0987617
     0.864167    0.0987662
     0.864455    0.0983969
     0.864743    0.0989571
     0.865032    0.0978314
     0.865321    0.0984912
     0.865609    0.0977805
     0.865897    0.0961358
     0.866186    0.0870399
     0.866475    0.0606802
     0.866764    0.0899190
     0.867053    0.0965195
     0.867342    0.0979213
     0.867631    0.0932201
     0.867920    0.0982374
     0.868209    0.0981772
     0.868499    0.0982205
     0.868788    0.0986676
     0.869078    0.0851855
     0.869367    0.0980135
     0.869657    0.0989284
     0.869947    0.0994925
     0.870237    0.0973805
     0.870528    0.0992814
     0.870817    0.0995172
     0.871107    0.0994515
     0.871398    0.0975574
     0.871688    0.0989000
     0.871979    0.0984070
     0.872269    0.0994651
     0.872560    0.0996323
     0.872851    0.0997394
     0.873142    0.0991474
     0.873433    0.0997381
     0.873724    0.0964337
     0.874015    0.0987215
     0.874307    0.0995959
     0.874599    0.0991242
     0.874890    0.0995338
     0.875181    0.0995832
     0.875473    0.0986074
     0.875766    0.0998700
     0.876058    0.0963547
     0.876350     0.100049
     0.876641    0.0977016
     0.876933    0.0995407
     0.877225     0.100022
     0.877518    0.0977145
     0.877810    0.0998762
     0.878103    0.0999083
     0.878396     0.100164
     0.878689     0.100042
     0.878982     0.100069
     0.879275    0.0992514
     0.879568    0.0975993
     0.879861     0.100038
     0.880154     0.100195
     0.880448    0.0998544
     0.880741    0.0942198
     0.881034    0.0865030
     0.881328    0.0997445
     0.881622     0.100227
     0.881916     0.100363
     0.882209     0.100031
