wavelength       flux
  microns         mJy
      
     0.800134   0.00430545
     0.800401   0.00446285
     0.800668   0.00440986
     0.800935   0.00445289
     0.801202   0.00453481
     0.801469   0.00453111
     0.801736   0.00458771
     0.802003   0.00462242
     0.802270   0.00454404
     0.802538   0.00457390
     0.802805   0.00452460
     0.803073   0.00458115
     0.803340   0.00461581
     0.803608   0.00468412
     0.803876   0.00469444
     0.804145   0.00465285
     0.804412   0.00473183
     0.804680   0.00477984
     0.804949   0.00442682
     0.805217   0.00475240
     0.805485   0.00480350
     0.805754   0.00477262
     0.806022   0.00482107
     0.806291   0.00485235
     0.806560   0.00485704
     0.806829   0.00473384
     0.807098   0.00470870
     0.807367   0.00477553
     0.807636   0.00467316
     0.807905   0.00484957
     0.808174   0.00492357
     0.808444   0.00490087
     0.808713   0.00491158
     0.808983   0.00500399
     0.809253   0.00497972
     0.809523   0.00490302
     0.809792   0.00505469
     0.810062   0.00508764
     0.810332   0.00498920
     0.810602   0.00505856
     0.810872   0.00506187
     0.811143   0.00510630
     0.811413   0.00493670
     0.811683   0.00510739
     0.811954   0.00490655
     0.812225   0.00505744
     0.812495   0.00515556
     0.812766   0.00492345
     0.813037   0.00523125
     0.813308   0.00525371
     0.813579   0.00520548
     0.813850   0.00526621
     0.814122   0.00523979
     0.814393   0.00517529
     0.814664   0.00529603
     0.814936   0.00531165
     0.815208   0.00529310
     0.815479   0.00533254
     0.815751   0.00531321
     0.816023   0.00525962
     0.816296   0.00508679
     0.816567   0.00526511
     0.816839   0.00534985
     0.817112   0.00529259
     0.817384   0.00531391
     0.817657   0.00525252
     0.817930   0.00514233
     0.818202   0.00481327
     0.818475   0.00307679
     0.818747   0.00418050
     0.819020   0.00480647
     0.819293   0.00470203
     0.819567   0.00332808
     0.819840   0.00308198
     0.820113   0.00445720
     0.820386   0.00489847
     0.820660   0.00472112
     0.820933   0.00478202
     0.821207   0.00493769
     0.821480   0.00501649
     0.821754   0.00503876
     0.822028   0.00501403
     0.822302   0.00496014
     0.822576   0.00512403
     0.822850   0.00515624
     0.823125   0.00520009
     0.823399   0.00514694
     0.823674   0.00522761
     0.823949   0.00526702
     0.824223   0.00517354
     0.824498   0.00513392
     0.824773   0.00528726
     0.825048   0.00531044
     0.825323   0.00517773
     0.825598   0.00517149
     0.825873   0.00511567
     0.826148   0.00527034
     0.826423   0.00529682
     0.826699   0.00531454
     0.826974   0.00517382
     0.827250   0.00494130
     0.827527   0.00513091
     0.827802   0.00513982
     0.828077   0.00503897
     0.828353   0.00503023
     0.828630   0.00505802
     0.828906   0.00514124
     0.829183   0.00484780
     0.829459   0.00504599
     0.829735   0.00511581
     0.830012   0.00504283
     0.830289   0.00504173
     0.830565   0.00499707
     0.830842   0.00495765
     0.831119   0.00503669
     0.831396   0.00507391
     0.831674   0.00515199
     0.831951   0.00514618
     0.832228   0.00522834
     0.832505   0.00512693
     0.832783   0.00489686
     0.833061   0.00466999
     0.833338   0.00523666
     0.833616   0.00502334
     0.833893   0.00510744
     0.834171   0.00517952
     0.834449   0.00503945
     0.834728   0.00511030
     0.835006   0.00496762
     0.835284   0.00512074
     0.835563   0.00487206
     0.835841   0.00510699
     0.836120   0.00522265
     0.836399   0.00512193
     0.836678   0.00471655
     0.836957   0.00525361
     0.837235   0.00512372
     0.837515   0.00509396
     0.837794   0.00511169
     0.838073   0.00484748
     0.838353   0.00486047
     0.838632   0.00480031
     0.838911   0.00430774
     0.839191   0.00486669
     0.839471   0.00519941
     0.839750   0.00513047
     0.840030   0.00489799
     0.840310   0.00520565
     0.840590   0.00524558
     0.840870   0.00527039
     0.841151   0.00522262
     0.841431   0.00481063
     0.841712   0.00533222
     0.841992   0.00508984
     0.842273   0.00506237
     0.842554   0.00508365
     0.842835   0.00463225
     0.843116   0.00506591
     0.843397   0.00522825
     0.843678   0.00339169
     0.843959   0.00463207
     0.844240   0.00490305
     0.844522   0.00418469
     0.844803   0.00432868
     0.845085   0.00451966
     0.845366   0.00413252
     0.845648   0.00393123
     0.845930   0.00409978
     0.846213   0.00422496
     0.846494   0.00423796
     0.846776   0.00413247
     0.847058   0.00379826
     0.847341   0.00409569
     0.847623   0.00413930
     0.847906   0.00435338
     0.848189   0.00436235
     0.848471   0.00430095
     0.848754   0.00442427
     0.849037   0.00442725
     0.849320   0.00448996
     0.849603   0.00450484
     0.849886   0.00436698
     0.850170   0.00413605
     0.850453   0.00450895
     0.850736   0.00452496
     0.851020   0.00415707
     0.851304   0.00445305
     0.851587   0.00425641
     0.851871   0.00422457
     0.852156   0.00419325
     0.852439   0.00446376
     0.852723   0.00451848
     0.853008   0.00448950
     0.853292   0.00446981
     0.853577   0.00447422
     0.853861   0.00459494
     0.854146   0.00458352
     0.854431   0.00381117
     0.854715   0.00459685
     0.855000   0.00458849
     0.855285   0.00487115
     0.855570   0.00481210
     0.855856   0.00485082
     0.856141   0.00476015
     0.856426   0.00491571
     0.856712   0.00483948
     0.856997   0.00492065
     0.857283   0.00486375
     0.857569   0.00490960
     0.857854   0.00493094
     0.858140   0.00501304
     0.858426   0.00486620
     0.858712   0.00495658
     0.858999   0.00502962
     0.859285   0.00498792
     0.859572   0.00499805
     0.859858   0.00505029
     0.860145   0.00511344
     0.860432   0.00506273
     0.860718   0.00511847
     0.861005   0.00515809
     0.861292   0.00501784
     0.861579   0.00518376
     0.861867   0.00519434
     0.862154   0.00532962
     0.862441   0.00521615
     0.862729   0.00533558
     0.863016   0.00541469
     0.863304   0.00526937
     0.863591   0.00538332
     0.863880   0.00537368
     0.864167   0.00540010
     0.864455   0.00545429
     0.864743   0.00543742
     0.865032   0.00541548
     0.865321   0.00532796
     0.865609   0.00546449
     0.865897   0.00543102
     0.866186   0.00534367
     0.866475   0.00429674
     0.866764   0.00541671
     0.867053   0.00551709
     0.867342   0.00555663
     0.867631   0.00512911
     0.867920   0.00539694
     0.868209   0.00558414
     0.868499   0.00536110
     0.868788   0.00555720
     0.869078   0.00454870
     0.869367   0.00531697
     0.869657   0.00535531
     0.869947   0.00551328
     0.870237   0.00547000
     0.870528   0.00552076
     0.870817   0.00548197
     0.871107   0.00550801
     0.871398   0.00523032
     0.871688   0.00518583
     0.871979   0.00527397
     0.872269   0.00546607
     0.872560   0.00557420
     0.872851   0.00558232
     0.873142   0.00593005
     0.873433   0.00568730
     0.873724   0.00548946
     0.874015   0.00562290
     0.874307   0.00568849
     0.874599   0.00590110
     0.874890   0.00574212
     0.875181   0.00576291
     0.875473   0.00576444
     0.875766   0.00587696
     0.876058   0.00575704
     0.876350   0.00603003
     0.876641   0.00582411
     0.876933   0.00566020
     0.877225   0.00608136
     0.877518   0.00576020
     0.877810   0.00613124
     0.878103   0.00577044
     0.878396   0.00600818
     0.878689   0.00612188
     0.878982   0.00603287
     0.879275   0.00618167
     0.879568   0.00603071
     0.879861   0.00619208
     0.880154   0.00619228
     0.880448   0.00548698
     0.880741   0.00586998
     0.881034   0.00551923
     0.881328   0.00608867
     0.881622   0.00621454
     0.881916   0.00626313
     0.882209   0.00631089
