wavelength       flux
  microns         mJy
      
     0.800134    0.0101476
     0.800401    0.0103532
     0.800668    0.0102798
     0.800935    0.0103665
     0.801202    0.0104099
     0.801469    0.0104070
     0.801736    0.0104314
     0.802003    0.0104589
     0.802270    0.0103889
     0.802538    0.0104308
     0.802805    0.0101700
     0.803073    0.0104225
     0.803340    0.0104694
     0.803608    0.0104743
     0.803876    0.0105052
     0.804145    0.0104787
     0.804412    0.0105157
     0.804680    0.0105382
     0.804949    0.0100998
     0.805217    0.0105602
     0.805485    0.0105849
     0.805754    0.0105225
     0.806022    0.0105985
     0.806291    0.0106118
     0.806560    0.0106001
     0.806829    0.0105315
     0.807098    0.0103207
     0.807367    0.0105674
     0.807636    0.0103750
     0.807905    0.0106347
     0.808174    0.0106624
     0.808444    0.0106676
     0.808713    0.0105677
     0.808983    0.0107167
     0.809253    0.0106977
     0.809523    0.0106452
     0.809792    0.0107444
     0.810062    0.0107330
     0.810332    0.0107012
     0.810602    0.0107597
     0.810872    0.0107684
     0.811143    0.0107868
     0.811413    0.0107053
     0.811683    0.0107997
     0.811954    0.0106204
     0.812225    0.0107851
     0.812495    0.0108255
     0.812766    0.0107321
     0.813037    0.0108642
     0.813308    0.0108378
     0.813579    0.0108370
     0.813850    0.0108898
     0.814122    0.0108815
     0.814393    0.0108570
     0.814664    0.0109060
     0.814936    0.0109284
     0.815208    0.0109282
     0.815479    0.0109559
     0.815751    0.0109468
     0.816023    0.0109255
     0.816296    0.0108046
     0.816567    0.0109326
     0.816839    0.0109648
     0.817112    0.0109568
     0.817384    0.0109657
     0.817657    0.0109652
     0.817930    0.0109381
     0.818202    0.0108405
     0.818475   0.00870248
     0.818747    0.0104520
     0.819020    0.0108176
     0.819293    0.0108425
     0.819567   0.00927023
     0.819840   0.00895550
     0.820113    0.0107225
     0.820386    0.0109096
     0.820660    0.0107296
     0.820933    0.0108678
     0.821207    0.0109440
     0.821480    0.0109124
     0.821754    0.0109857
     0.822028    0.0109674
     0.822302    0.0107166
     0.822576    0.0110272
     0.822850    0.0110325
     0.823125    0.0110553
     0.823399    0.0110127
     0.823674    0.0110771
     0.823949    0.0110970
     0.824223    0.0109522
     0.824498    0.0110216
     0.824773    0.0111062
     0.825048    0.0111130
     0.825323    0.0110911
     0.825598    0.0110805
     0.825873    0.0109816
     0.826148    0.0111368
     0.826423    0.0111318
     0.826699    0.0111205
     0.826974    0.0110815
     0.827250    0.0110544
     0.827527    0.0111218
     0.827802    0.0111302
     0.828077    0.0111028
     0.828353    0.0110980
     0.828630    0.0111066
     0.828906    0.0111533
     0.829183    0.0110246
     0.829459    0.0110813
     0.829735    0.0111586
     0.830012    0.0111378
     0.830289    0.0111483
     0.830565    0.0111311
     0.830842    0.0109510
     0.831119    0.0111268
     0.831396    0.0111415
     0.831674    0.0112103
     0.831951    0.0112080
     0.832228    0.0112349
     0.832505    0.0111728
     0.832783    0.0107790
     0.833061    0.0102734
     0.833338    0.0112195
     0.833616    0.0109456
     0.833893    0.0112168
     0.834171    0.0112414
     0.834449    0.0112167
     0.834728    0.0112301
     0.835006    0.0110635
     0.835284    0.0112726
     0.835563    0.0109305
     0.835841    0.0112670
     0.836120    0.0113109
     0.836399    0.0111806
     0.836678    0.0103578
     0.836957    0.0113322
     0.837235    0.0112751
     0.837515    0.0112802
     0.837794    0.0112752
     0.838073    0.0104736
     0.838353    0.0106137
     0.838632    0.0105499
     0.838911   0.00988816
     0.839191    0.0109261
     0.839471    0.0113534
     0.839750    0.0112788
     0.840030    0.0106723
     0.840310    0.0113326
     0.840590    0.0113888
     0.840870    0.0113971
     0.841151    0.0113862
     0.841431    0.0103884
     0.841712    0.0114132
     0.841992    0.0111283
     0.842273    0.0113530
     0.842554    0.0111089
     0.842835    0.0101259
     0.843116    0.0112910
     0.843397    0.0113694
     0.843678   0.00862555
     0.843959    0.0108486
     0.844240    0.0111298
     0.844522    0.0110647
     0.844803    0.0111777
     0.845085    0.0112523
     0.845366    0.0108915
     0.845648    0.0109869
     0.845930    0.0109935
     0.846213    0.0111119
     0.846494    0.0111560
     0.846776    0.0110860
     0.847058    0.0100137
     0.847341    0.0110638
     0.847623    0.0111269
     0.847906    0.0112117
     0.848189    0.0112164
     0.848471    0.0111647
     0.848754    0.0112544
     0.849037    0.0112609
     0.849320    0.0112628
     0.849603    0.0111718
     0.849886    0.0101710
     0.850170   0.00985305
     0.850453    0.0112399
     0.850736    0.0112896
     0.851020    0.0111560
     0.851304    0.0112979
     0.851587    0.0106725
     0.851871    0.0110535
     0.852156    0.0106758
     0.852439    0.0113211
     0.852723    0.0113279
     0.853008    0.0113140
     0.853292    0.0112471
     0.853577    0.0112289
     0.853861    0.0111164
     0.854146    0.0103923
     0.854431   0.00732945
     0.854715    0.0103228
     0.855000    0.0108808
     0.855285    0.0113624
     0.855570    0.0114468
     0.855856    0.0114891
     0.856141    0.0114771
     0.856426    0.0115543
     0.856712    0.0115184
     0.856997    0.0115866
     0.857283    0.0115151
     0.857569    0.0115772
     0.857854    0.0116013
     0.858140    0.0116006
     0.858426    0.0114708
     0.858712    0.0116531
     0.858999    0.0116805
     0.859285    0.0116702
     0.859572    0.0116681
     0.859858    0.0117007
     0.860145    0.0117319
     0.860432    0.0117002
     0.860718    0.0117362
     0.861005    0.0117501
     0.861292    0.0114331
     0.861579    0.0117301
     0.861867    0.0117669
     0.862154    0.0118037
     0.862441    0.0116634
     0.862729    0.0118412
     0.863016    0.0118878
     0.863304    0.0118340
     0.863591    0.0118604
     0.863880    0.0118642
     0.864167    0.0118805
     0.864455    0.0118950
     0.864743    0.0119005
     0.865032    0.0118838
     0.865321    0.0118452
     0.865609    0.0118494
     0.865897    0.0117119
     0.866186    0.0110367
     0.866475   0.00803733
     0.866764    0.0112876
     0.867053    0.0117947
     0.867342    0.0119088
     0.867631    0.0111501
     0.867920    0.0116069
     0.868209    0.0120003
     0.868499    0.0114558
     0.868788    0.0118985
     0.869078    0.0101150
     0.869367    0.0114813
     0.869657    0.0117967
     0.869947    0.0119831
     0.870237    0.0119376
     0.870528    0.0119893
     0.870817    0.0119963
     0.871107    0.0120662
     0.871398    0.0119006
     0.871688    0.0119240
     0.871979    0.0119229
     0.872269    0.0119647
     0.872560    0.0120149
     0.872851    0.0120544
     0.873142    0.0122374
     0.873433    0.0120168
     0.873724    0.0117073
     0.874015    0.0119946
     0.874307    0.0120997
     0.874599    0.0122251
     0.874890    0.0121384
     0.875181    0.0121417
     0.875473    0.0121203
     0.875766    0.0122011
     0.876058    0.0119066
     0.876350    0.0122755
     0.876641    0.0121329
     0.876933    0.0118363
     0.877225    0.0123443
     0.877518    0.0120549
     0.877810    0.0123500
     0.878103    0.0120558
     0.878396    0.0122771
     0.878689    0.0123585
     0.878982    0.0123205
     0.879275    0.0123691
     0.879568    0.0122672
     0.879861    0.0123690
     0.880154    0.0123830
     0.880448    0.0119653
     0.880741    0.0116857
     0.881034    0.0108000
     0.881328    0.0122754
     0.881622    0.0123964
     0.881916    0.0124450
     0.882209    0.0124358
