wavelength       flux
  microns         mJy
      
     0.800134    0.0136604
     0.800401    0.0140301
     0.800668    0.0138673
     0.800935    0.0140039
     0.801202    0.0141058
     0.801469    0.0140724
     0.801736    0.0141472
     0.802003    0.0142384
     0.802270    0.0140485
     0.802538    0.0141375
     0.802805    0.0138316
     0.803073    0.0140591
     0.803340    0.0141593
     0.803608    0.0142383
     0.803876    0.0142133
     0.804145    0.0141581
     0.804412    0.0142989
     0.804680    0.0143013
     0.804949    0.0134374
     0.805217    0.0143121
     0.805485    0.0143917
     0.805754    0.0142381
     0.806022    0.0143855
     0.806291    0.0144212
     0.806560    0.0143851
     0.806829    0.0141738
     0.807098    0.0140000
     0.807367    0.0142479
     0.807636    0.0138872
     0.807905    0.0143854
     0.808174    0.0145168
     0.808444    0.0144983
     0.808713    0.0143624
     0.808983    0.0145943
     0.809253    0.0145445
     0.809523    0.0143565
     0.809792    0.0146662
     0.810062    0.0146812
     0.810332    0.0145612
     0.810602    0.0146347
     0.810872    0.0146773
     0.811143    0.0147079
     0.811413    0.0144014
     0.811683    0.0146814
     0.811954    0.0142117
     0.812225    0.0146197
     0.812495    0.0147278
     0.812766    0.0143121
     0.813037    0.0148685
     0.813308    0.0148412
     0.813579    0.0147717
     0.813850    0.0148916
     0.814122    0.0148464
     0.814393    0.0147368
     0.814664    0.0148797
     0.814936    0.0149759
     0.815208    0.0149428
     0.815479    0.0150315
     0.815751    0.0149525
     0.816023    0.0148551
     0.816296    0.0144536
     0.816567    0.0148610
     0.816839    0.0150082
     0.817112    0.0149187
     0.817384    0.0149265
     0.817657    0.0148433
     0.817930    0.0146834
     0.818202    0.0140840
     0.818475   0.00950978
     0.818747    0.0126038
     0.819020    0.0140493
     0.819293    0.0138707
     0.819567    0.0102522
     0.819840   0.00985415
     0.820113    0.0136716
     0.820386    0.0144753
     0.820660    0.0142185
     0.820933    0.0146370
     0.821207    0.0148471
     0.821480    0.0148342
     0.821754    0.0150014
     0.822028    0.0148998
     0.822302    0.0145144
     0.822576    0.0150532
     0.822850    0.0150869
     0.823125    0.0150821
     0.823399    0.0150152
     0.823674    0.0151930
     0.823949    0.0152121
     0.824223    0.0149053
     0.824498    0.0148843
     0.824773    0.0152478
     0.825048    0.0152289
     0.825323    0.0152157
     0.825598    0.0150774
     0.825873    0.0148646
     0.826148    0.0152561
     0.826423    0.0152808
     0.826699    0.0152584
     0.826974    0.0152072
     0.827250    0.0150819
     0.827527    0.0151868
     0.827802    0.0152453
     0.828077    0.0151764
     0.828353    0.0151755
     0.828630    0.0151773
     0.828906    0.0153270
     0.829183    0.0149796
     0.829459    0.0151384
     0.829735    0.0152796
     0.830012    0.0152474
     0.830289    0.0152515
     0.830565    0.0152262
     0.830842    0.0149463
     0.831119    0.0151903
     0.831396    0.0152547
     0.831674    0.0153634
     0.831951    0.0153661
     0.832228    0.0153941
     0.832505    0.0152230
     0.832783    0.0143832
     0.833061    0.0136750
     0.833338    0.0153702
     0.833616    0.0149221
     0.833893    0.0153248
     0.834171    0.0154138
     0.834449    0.0153762
     0.834728    0.0154393
     0.835006    0.0150559
     0.835284    0.0155022
     0.835563    0.0148834
     0.835841    0.0154379
     0.836120    0.0155481
     0.836399    0.0153804
     0.836678    0.0140338
     0.836957    0.0156027
     0.837235    0.0153403
     0.837515    0.0154655
     0.837794    0.0154364
     0.838073    0.0142832
     0.838353    0.0144757
     0.838632    0.0143118
     0.838911    0.0129878
     0.839191    0.0146839
     0.839471    0.0155695
     0.839750    0.0154177
     0.840030    0.0145882
     0.840310    0.0155131
     0.840590    0.0156647
     0.840870    0.0155832
     0.841151    0.0155671
     0.841431    0.0141251
     0.841712    0.0156690
     0.841992    0.0152733
     0.842273    0.0155089
     0.842554    0.0152520
     0.842835    0.0137381
     0.843116    0.0153591
     0.843397    0.0156199
     0.843678    0.0114581
     0.843959    0.0147012
     0.844240    0.0152733
     0.844522    0.0149236
     0.844803    0.0151122
     0.845085    0.0152982
     0.845366    0.0146939
     0.845648    0.0146427
     0.845930    0.0148134
     0.846213    0.0149038
     0.846494    0.0150770
     0.846776    0.0148994
     0.847058    0.0132162
     0.847341    0.0148323
     0.847623    0.0150166
     0.847906    0.0151885
     0.848189    0.0151656
     0.848471    0.0150985
     0.848754    0.0152395
     0.849037    0.0152774
     0.849320    0.0152622
     0.849603    0.0152317
     0.849886    0.0142787
     0.850170    0.0138278
     0.850453    0.0153528
     0.850736    0.0153632
     0.851020    0.0150357
     0.851304    0.0153377
     0.851587    0.0141801
     0.851871    0.0148887
     0.852156    0.0145100
     0.852439    0.0153556
     0.852723    0.0154851
     0.853008    0.0154462
     0.853292    0.0152673
     0.853577    0.0153526
     0.853861    0.0153539
     0.854146    0.0147220
     0.854431    0.0111607
     0.854715    0.0147198
     0.855000    0.0150536
     0.855285    0.0156329
     0.855570    0.0157112
     0.855856    0.0157630
     0.856141    0.0156708
     0.856426    0.0158767
     0.856712    0.0157768
     0.856997    0.0158906
     0.857283    0.0157693
     0.857569    0.0158428
     0.857854    0.0159140
     0.858140    0.0158835
     0.858426    0.0156345
     0.858712    0.0160318
     0.858999    0.0160772
     0.859285    0.0160499
     0.859572    0.0160070
     0.859858    0.0161017
     0.860145    0.0161842
     0.860432    0.0160914
     0.860718    0.0160871
     0.861005    0.0161576
     0.861292    0.0155548
     0.861579    0.0160351
     0.861867    0.0161092
     0.862154    0.0162350
     0.862441    0.0159277
     0.862729    0.0162354
     0.863016    0.0164108
     0.863304    0.0162505
     0.863591    0.0163403
     0.863880    0.0162792
     0.864167    0.0162865
     0.864455    0.0164065
     0.864743    0.0164352
     0.865032    0.0163913
     0.865321    0.0162696
     0.865609    0.0163938
     0.865897    0.0162639
     0.866186    0.0156662
     0.866475    0.0118845
     0.866764    0.0159336
     0.867053    0.0163728
     0.867342    0.0164468
     0.867631    0.0151701
     0.867920    0.0159564
     0.868209    0.0165833
     0.868499    0.0157635
     0.868788    0.0163103
     0.869078    0.0131246
     0.869367    0.0155619
     0.869657    0.0157473
     0.869947    0.0162684
     0.870237    0.0162292
     0.870528    0.0162876
     0.870817    0.0163202
     0.871107    0.0165379
     0.871398    0.0160363
     0.871688    0.0161229
     0.871979    0.0161113
     0.872269    0.0163343
     0.872560    0.0163250
     0.872851    0.0164133
     0.873142    0.0170014
     0.873433    0.0163360
     0.873724    0.0159451
     0.874015    0.0162075
     0.874307    0.0164427
     0.874599    0.0168705
     0.874890    0.0165646
     0.875181    0.0165564
     0.875473    0.0164811
     0.875766    0.0167417
     0.876058    0.0162481
     0.876350    0.0170007
     0.876641    0.0165354
     0.876933    0.0161364
     0.877225    0.0171608
     0.877518    0.0163890
     0.877810    0.0171435
     0.878103    0.0163724
     0.878396    0.0168808
     0.878689    0.0171325
     0.878982    0.0169207
     0.879275    0.0171890
     0.879568    0.0168625
     0.879861    0.0171363
     0.880154    0.0171842
     0.880448    0.0158643
     0.880741    0.0163051
     0.881034    0.0152014
     0.881328    0.0168985
     0.881622    0.0171977
     0.881916    0.0173041
     0.882209    0.0173523
