wavelength       flux
  microns         mJy
      
     0.800134  1.92813e-11
     0.800401  2.02619e-11
     0.800668  2.02122e-11
     0.800935  2.05817e-11
     0.801202  2.09771e-11
     0.801469  2.11332e-11
     0.801736  2.13994e-11
     0.802003  2.16364e-11
     0.802270  2.15952e-11
     0.802538  2.18281e-11
     0.802805  2.14447e-11
     0.803073  2.19682e-11
     0.803340  2.25075e-11
     0.803608  2.27985e-11
     0.803876  2.30818e-11
     0.804145  2.30735e-11
     0.804412  2.34016e-11
     0.804680  2.38040e-11
     0.804949  2.24207e-11
     0.805217  2.41253e-11
     0.805485  2.44418e-11
     0.805754  2.44948e-11
     0.806022  2.48611e-11
     0.806291  2.51374e-11
     0.806560  2.52774e-11
     0.806829  2.51193e-11
     0.807098  2.48160e-11
     0.807367  2.54798e-11
     0.807636  2.52526e-11
     0.807905  2.62809e-11
     0.808174  2.65461e-11
     0.808444  2.67329e-11
     0.808713  2.65846e-11
     0.808983  2.75285e-11
     0.809253  2.75991e-11
     0.809523  2.74627e-11
     0.809792  2.81584e-11
     0.810062  2.84053e-11
     0.810332  2.83220e-11
     0.810602  2.90154e-11
     0.810872  2.91040e-11
     0.811143  2.94929e-11
     0.811413  2.92926e-11
     0.811683  3.01126e-11
     0.811954  2.94220e-11
     0.812225  3.03495e-11
     0.812495  3.09058e-11
     0.812766  3.03208e-11
     0.813037  3.14603e-11
     0.813308  3.17170e-11
     0.813579  3.18188e-11
     0.813850  3.23606e-11
     0.814122  3.25091e-11
     0.814393  3.26109e-11
     0.814664  3.31377e-11
     0.814936  3.34434e-11
     0.815208  3.36561e-11
     0.815479  3.40036e-11
     0.815751  3.42919e-11
     0.816023  3.44460e-11
     0.816296  3.39897e-11
     0.816567  3.49069e-11
     0.816839  3.54611e-11
     0.817112  3.55199e-11
     0.817384  3.60410e-11
     0.817657  3.61220e-11
     0.817930  3.63099e-11
     0.818202  3.59395e-11
     0.818475  2.75758e-11
     0.818747  3.44760e-11
     0.819020  3.64903e-11
     0.819293  3.69283e-11
     0.819567  3.03369e-11
     0.819840  2.86885e-11
     0.820113  3.59090e-11
     0.820386  3.78358e-11
     0.820660  3.64536e-11
     0.820933  3.69952e-11
     0.821207  3.80445e-11
     0.821480  3.82072e-11
     0.821754  3.89034e-11
     0.822028  3.91452e-11
     0.822302  3.82628e-11
     0.822576  4.01754e-11
     0.822850  4.05927e-11
     0.823125  4.12153e-11
     0.823399  4.09261e-11
     0.823674  4.16907e-11
     0.823949  4.22828e-11
     0.824223  4.17837e-11
     0.824498  4.23989e-11
     0.824773  4.32705e-11
     0.825048  4.35231e-11
     0.825323  4.33586e-11
     0.825598  4.37241e-11
     0.825873  4.33525e-11
     0.826148  4.49092e-11
     0.826423  4.52617e-11
     0.826699  4.56977e-11
     0.826974  4.50467e-11
     0.827250  4.42379e-11
     0.827527  4.57900e-11
     0.827802  4.59821e-11
     0.828077  4.58068e-11
     0.828353  4.60016e-11
     0.828630  4.65356e-11
     0.828906  4.72267e-11
     0.829183  4.59755e-11
     0.829459  4.70692e-11
     0.829735  4.82397e-11
     0.830012  4.80002e-11
     0.830289  4.85135e-11
     0.830565  4.84757e-11
     0.830842  4.81047e-11
     0.831119  4.93356e-11
     0.831396  4.96142e-11
     0.831674  5.10219e-11
     0.831951  5.12416e-11
     0.832228  5.22041e-11
     0.832505  5.19663e-11
     0.832783  5.03072e-11
     0.833061  4.83115e-11
     0.833338  5.33452e-11
     0.833616  5.23748e-11
     0.833893  5.37459e-11
     0.834171  5.42500e-11
     0.834449  5.37050e-11
     0.834728  5.44058e-11
     0.835006  5.32279e-11
     0.835284  5.55927e-11
     0.835563  5.39129e-11
     0.835841  5.64021e-11
     0.836120  5.74365e-11
     0.836399  5.67666e-11
     0.836678  5.32772e-11
     0.836957  5.89806e-11
     0.837235  5.88683e-11
     0.837515  5.86123e-11
     0.837794  5.93478e-11
     0.838073  5.67426e-11
     0.838353  5.72630e-11
     0.838632  5.73882e-11
     0.838911  5.24354e-11
     0.839191  5.90520e-11
     0.839471  6.27235e-11
     0.839750  6.26632e-11
     0.840030  6.02817e-11
     0.840310  6.37812e-11
     0.840590  6.47845e-11
     0.840870  6.58511e-11
     0.841151  6.59792e-11
     0.841431  6.16822e-11
     0.841712  6.76405e-11
     0.841992  6.48868e-11
     0.842273  6.63736e-11
     0.842554  6.55625e-11
     0.842835  6.18899e-11
     0.843116  6.79575e-11
     0.843397  6.95212e-11
     0.843678  5.09783e-11
     0.843959  6.56475e-11
     0.844240  6.73629e-11
     0.844522  6.31508e-11
     0.844803  6.53055e-11
     0.845085  6.71639e-11
     0.845366  6.30872e-11
     0.845648  6.30580e-11
     0.845930  6.43647e-11
     0.846213  6.65775e-11
     0.846494  6.71410e-11
     0.846776  6.66507e-11
     0.847058  6.09559e-11
     0.847341  6.69733e-11
     0.847623  6.79765e-11
     0.847906  7.05332e-11
     0.848189  7.11894e-11
     0.848471  7.08743e-11
     0.848754  7.29447e-11
     0.849037  7.33888e-11
     0.849320  7.45420e-11
     0.849603  7.44225e-11
     0.849886  6.97244e-11
     0.850170  6.76133e-11
     0.850453  7.63205e-11
     0.850736  7.71107e-11
     0.851020  7.40964e-11
     0.851304  7.78191e-11
     0.851587  7.45283e-11
     0.851871  7.54821e-11
     0.852156  7.46818e-11
     0.852439  8.04761e-11
     0.852723  8.09617e-11
     0.853008  8.14335e-11
     0.853292  8.19930e-11
     0.853577  8.22711e-11
     0.853861  8.34587e-11
     0.854146  8.08101e-11
     0.854431  6.09118e-11
     0.854715  8.16087e-11
     0.855000  8.43050e-11
     0.855285  9.03575e-11
     0.855570  9.07130e-11
     0.855856  9.17483e-11
     0.856141  9.15375e-11
     0.856426  9.38418e-11
     0.856712  9.39037e-11
     0.856997  9.56587e-11
     0.857283  9.51713e-11
     0.857569  9.68286e-11
     0.857854  9.77413e-11
     0.858140  9.94486e-11
     0.858426  9.76324e-11
     0.858712  1.00305e-10
     0.858999  1.02102e-10
     0.859285  1.02170e-10
     0.859572  1.03195e-10
     0.859858  1.04676e-10
     0.860145  1.06079e-10
     0.860432  1.06245e-10
     0.860718  1.08278e-10
     0.861005  1.09097e-10
     0.861292  1.06904e-10
     0.861579  1.11630e-10
     0.861867  1.12549e-10
     0.862154  1.15104e-10
     0.862441  1.13387e-10
     0.862729  1.17565e-10
     0.863016  1.19146e-10
     0.863304  1.18093e-10
     0.863591  1.19849e-10
     0.863880  1.21474e-10
     0.864167  1.23095e-10
     0.864455  1.23962e-10
     0.864743  1.24591e-10
     0.865032  1.25251e-10
     0.865321  1.25294e-10
     0.865609  1.27640e-10
     0.865897  1.27314e-10
     0.866186  1.22464e-10
     0.866475  9.30022e-11
     0.866764  1.26986e-10
     0.867053  1.32715e-10
     0.867342  1.35323e-10
     0.867631  1.26356e-10
     0.867920  1.34190e-10
     0.868209  1.38853e-10
     0.868499  1.34734e-10
     0.868788  1.40091e-10
     0.869078  1.18743e-10
     0.869367  1.37178e-10
     0.869657  1.42913e-10
     0.869947  1.46297e-10
