wavelength       flux
  microns         mJy
      
     0.800134     0.205279
     0.800401     0.209831
     0.800668     0.209984
     0.800935     0.209682
     0.801202     0.210041
     0.801469     0.209855
     0.801736     0.210061
     0.802003     0.210077
     0.802270     0.210011
     0.802538     0.210052
     0.802805     0.209136
     0.803073     0.208486
     0.803340     0.210107
     0.803608     0.209128
     0.803876     0.209353
     0.804145     0.210089
     0.804412     0.210056
     0.804680     0.209901
     0.804949     0.205199
     0.805217     0.208932
     0.805485     0.210033
     0.805754     0.209050
     0.806022     0.209933
     0.806291     0.210151
     0.806560     0.210125
     0.806829     0.210149
     0.807098     0.209775
     0.807367     0.209120
     0.807636     0.209192
     0.807905     0.210195
     0.808174     0.209986
     0.808444     0.210109
     0.808713     0.206851
     0.808983     0.210202
     0.809253     0.209896
     0.809523     0.209088
     0.809792     0.209717
     0.810062     0.207177
     0.810332     0.210158
     0.810602     0.210165
     0.810872     0.210206
     0.811143     0.210158
     0.811413     0.210182
     0.811683     0.210242
     0.811954     0.210156
     0.812225     0.210267
     0.812495     0.210240
     0.812766     0.210200
     0.813037     0.210251
     0.813308     0.210184
     0.813579     0.210238
     0.813850     0.210261
     0.814122     0.210093
     0.814393     0.210058
     0.814664     0.210162
     0.814936     0.210192
     0.815208     0.209577
     0.815479     0.210216
     0.815751     0.210151
     0.816023     0.210177
     0.816296     0.210102
     0.816567     0.209037
     0.816839     0.210255
     0.817112     0.210159
     0.817384     0.210169
     0.817657     0.210131
     0.817930     0.210295
     0.818202     0.209965
     0.818475     0.204193
     0.818747     0.210234
     0.819020     0.209872
     0.819293     0.210239
     0.819567     0.207490
     0.819840     0.204994
     0.820113     0.208370
     0.820386     0.208419
     0.820660     0.209939
     0.820933     0.209234
     0.821207     0.209888
     0.821480     0.204214
     0.821754     0.209539
     0.822028     0.210240
     0.822302     0.204268
     0.822576     0.210270
     0.822850     0.210295
     0.823125     0.210198
     0.823399     0.204836
     0.823674     0.209806
     0.823949     0.210215
     0.824223     0.209289
     0.824498     0.210225
     0.824773     0.210257
     0.825048     0.206497
     0.825323     0.210032
     0.825598     0.209717
     0.825873     0.209970
     0.826148     0.210032
     0.826423     0.210102
     0.826699     0.209957
     0.826974     0.210004
     0.827250     0.209868
     0.827527     0.209897
     0.827802     0.209710
     0.828077     0.209761
     0.828353     0.209705
     0.828630     0.209681
     0.828906     0.209961
     0.829183     0.210349
     0.829459     0.209316
     0.829735     0.209371
     0.830012     0.210030
     0.830289     0.209918
     0.830565     0.209658
     0.830842     0.206152
     0.831119     0.208812
     0.831396     0.209179
     0.831674     0.209898
     0.831951     0.208005
     0.832228     0.209764
     0.832505     0.209795
     0.832783     0.209404
     0.833061     0.203101
     0.833338     0.207802
     0.833616     0.207292
     0.833893     0.209499
     0.834171     0.208587
     0.834449     0.209487
     0.834728     0.205850
     0.835006     0.209134
     0.835284     0.209734
     0.835563     0.209547
     0.835841     0.209674
     0.836120     0.209513
     0.836399     0.209462
     0.836678     0.208356
     0.836957     0.209718
     0.837235     0.209662
     0.837515     0.209432
     0.837794     0.209552
     0.838073     0.209303
     0.838353     0.209367
     0.838632     0.209513
     0.838911     0.202609
     0.839191     0.209445
     0.839471     0.209487
     0.839750     0.209591
     0.840030     0.208949
     0.840310     0.209252
     0.840590     0.209707
     0.840870     0.209795
     0.841151     0.209633
     0.841431     0.208821
     0.841712     0.209375
     0.841992     0.206893
     0.842273     0.209774
     0.842554     0.209299
     0.842835     0.209073
     0.843116     0.209871
     0.843397     0.209529
     0.843678     0.206583
     0.843959     0.209043
     0.844240     0.207631
     0.844522     0.209109
     0.844803     0.206997
     0.845085     0.210001
     0.845366     0.209890
     0.845648     0.210044
     0.845930     0.209952
     0.846213     0.209699
     0.846494     0.209453
     0.846776     0.208761
     0.847058     0.203415
     0.847341     0.209052
     0.847623     0.209609
     0.847906     0.210020
     0.848189     0.209928
     0.848471     0.209919
     0.848754     0.210082
     0.849037     0.210036
     0.849320     0.209359
     0.849603     0.208628
     0.849886     0.188168
     0.850170     0.180859
     0.850453     0.205146
     0.850736     0.208091
     0.851020     0.208945
     0.851304     0.209488
     0.851587     0.204926
     0.851871     0.208209
     0.852156     0.209656
     0.852439     0.210021
     0.852723     0.209712
     0.853008     0.206424
     0.853292     0.208810
     0.853577     0.207470
     0.853861     0.203158
     0.854146     0.188726
     0.854431     0.131228
     0.854715     0.183560
     0.855000     0.201779
     0.855285     0.206237
     0.855570     0.208230
     0.855856     0.206054
     0.856141     0.209613
     0.856426     0.209879
     0.856712     0.210181
     0.856997     0.210281
     0.857283     0.210284
     0.857569     0.210442
     0.857854     0.210412
     0.858140     0.210365
     0.858426     0.208633
     0.858712     0.209968
     0.858999     0.209786
     0.859285     0.209458
     0.859572     0.208313
     0.859858     0.205753
     0.860145     0.204719
     0.860432     0.207850
     0.860718     0.208494
     0.861005     0.209573
     0.861292     0.206613
     0.861579     0.210282
     0.861867     0.209892
     0.862154     0.210603
     0.862441     0.209110
     0.862729     0.210481
     0.863016     0.210802
     0.863304     0.210608
     0.863591     0.210540
     0.863880     0.210327
     0.864167     0.210172
     0.864455     0.209665
     0.864743     0.210190
     0.865032     0.206763
     0.865321     0.209305
     0.865609     0.208202
     0.865897     0.205550
     0.866186     0.191535
     0.866475     0.139704
     0.866764     0.191808
     0.867053     0.203485
     0.867342     0.206643
     0.867631     0.204107
     0.867920     0.209280
     0.868209     0.207210
     0.868499     0.210050
     0.868788     0.209758
     0.869078     0.201760
     0.869367     0.210141
     0.869657     0.209537
     0.869947     0.210925
     0.870237     0.208483
     0.870528     0.210524
     0.870817     0.210892
     0.871107     0.210799
     0.871398     0.207653
     0.871688     0.210519
     0.871979     0.208577
     0.872269     0.210687
     0.872560     0.210851
     0.872851     0.210680
     0.873142     0.208585
     0.873433     0.210495
     0.873724     0.204788
     0.874015     0.208392
     0.874307     0.209077
     0.874599     0.205635
     0.874890     0.206045
     0.875181     0.199861
     0.875473     0.199738
     0.875766     0.206952
     0.876058     0.205504
     0.876350     0.209469
     0.876641     0.207558
     0.876933     0.210001
     0.877225     0.210455
     0.877518     0.208553
     0.877810     0.210411
     0.878103     0.210825
     0.878396     0.210802
     0.878689     0.210765
     0.878982     0.210705
     0.879275     0.208828
     0.879568     0.208048
     0.879861     0.210875
     0.880154     0.210977
     0.880448     0.210911
     0.880741     0.207827
     0.881034     0.195006
     0.881328     0.210648
     0.881622     0.210911
     0.881916     0.210974
     0.882209     0.210481
     0.882504     0.210558
     0.882798     0.204553
     0.883092     0.210856
     0.883386     0.210839
     0.883681     0.210573
     0.883976     0.207041
     0.884270     0.210316
     0.884565     0.210204
     0.884860     0.209562
     0.885155     0.209715
     0.885450     0.209122
     0.885745     0.207998
     0.886041     0.205817
     0.886336     0.199362
     0.886631     0.195354
     0.886927     0.201726
     0.887222     0.207406
     0.887518     0.208831
     0.887814     0.208920
     0.888110     0.209648
     0.888406     0.209946
     0.888702     0.209964
     0.888999     0.210608
     0.889295     0.210601
     0.889591     0.208991
     0.889887     0.210749
