wavelength       flux
  microns         mJy
      
     0.800134    0.0324505
     0.800401    0.0339161
     0.800668    0.0340431
     0.800935    0.0338777
     0.801202    0.0341119
     0.801469    0.0340347
     0.801736    0.0341574
     0.802003    0.0341054
     0.802270    0.0341069
     0.802538    0.0341425
     0.802805    0.0336689
     0.803073    0.0332271
     0.803340    0.0341686
     0.803608    0.0337892
     0.803876    0.0339414
     0.804145    0.0341436
     0.804412    0.0341390
     0.804680    0.0339003
     0.804949    0.0321198
     0.805217    0.0337348
     0.805485    0.0341210
     0.805754    0.0337009
     0.806022    0.0341410
     0.806291    0.0341827
     0.806560    0.0341482
     0.806829    0.0341896
     0.807098    0.0339673
     0.807367    0.0335536
     0.807636    0.0334414
     0.807905    0.0342234
     0.808174    0.0340112
     0.808444    0.0341173
     0.808713    0.0330027
     0.808983    0.0342538
     0.809253    0.0339113
     0.809523    0.0335150
     0.809792    0.0338333
     0.810062    0.0331337
     0.810332    0.0341981
     0.810602    0.0341547
     0.810872    0.0341847
     0.811143    0.0341307
     0.811413    0.0341960
     0.811683    0.0341628
     0.811954    0.0341235
     0.812225    0.0342710
     0.812495    0.0342980
     0.812766    0.0341867
     0.813037    0.0342530
     0.813308    0.0341979
     0.813579    0.0343202
     0.813850    0.0342416
     0.814122    0.0341800
     0.814393    0.0342148
     0.814664    0.0342610
     0.814936    0.0342602
     0.815208    0.0338336
     0.815479    0.0342687
     0.815751    0.0342271
     0.816023    0.0343023
     0.816296    0.0341574
     0.816567    0.0339283
     0.816839    0.0343156
     0.817112    0.0342423
     0.817384    0.0343002
     0.817657    0.0342266
     0.817930    0.0343599
     0.818202    0.0340110
     0.818475    0.0324694
     0.818747    0.0343088
     0.819020    0.0339917
     0.819293    0.0344039
     0.819567    0.0332113
     0.819840    0.0327364
     0.820113    0.0335080
     0.820386    0.0341287
     0.820660    0.0339179
     0.820933    0.0337667
     0.821207    0.0341943
     0.821480    0.0325344
     0.821754    0.0341550
     0.822028    0.0344148
     0.822302    0.0322869
     0.822576    0.0344051
     0.822850    0.0344779
     0.823125    0.0343534
     0.823399    0.0327125
     0.823674    0.0342844
     0.823949    0.0343965
     0.824223    0.0337960
     0.824498    0.0343860
     0.824773    0.0345086
     0.825048    0.0335262
     0.825323    0.0343405
     0.825598    0.0344203
     0.825873    0.0343319
     0.826148    0.0344450
     0.826423    0.0344845
     0.826699    0.0343718
     0.826974    0.0343788
     0.827250    0.0343779
     0.827527    0.0343802
     0.827802    0.0343264
     0.828077    0.0344520
     0.828353    0.0344405
     0.828630    0.0345004
     0.828906    0.0343388
     0.829183    0.0345060
     0.829459    0.0338886
     0.829735    0.0342083
     0.830012    0.0343836
     0.830289    0.0344118
     0.830565    0.0343318
     0.830842    0.0333056
     0.831119    0.0339489
     0.831396    0.0341165
     0.831674    0.0344906
     0.831951    0.0339806
     0.832228    0.0344123
     0.832505    0.0344963
     0.832783    0.0339431
     0.833061    0.0322541
     0.833338    0.0336073
     0.833616    0.0340054
     0.833893    0.0344300
     0.834171    0.0338726
     0.834449    0.0343211
     0.834728    0.0332582
     0.835006    0.0340511
     0.835284    0.0345723
     0.835563    0.0344074
     0.835841    0.0345553
     0.836120    0.0343947
     0.836399    0.0343768
     0.836678    0.0334812
     0.836957    0.0346086
     0.837235    0.0344854
     0.837515    0.0344714
     0.837794    0.0345810
     0.838073    0.0341544
     0.838353    0.0341355
     0.838632    0.0342265
     0.838911    0.0317877
     0.839191    0.0343034
     0.839471    0.0346561
     0.839750    0.0346229
     0.840030    0.0340667
     0.840310    0.0340775
     0.840590    0.0345467
     0.840870    0.0346349
     0.841151    0.0346492
     0.841431    0.0341136
     0.841712    0.0346230
     0.841992    0.0337604
     0.842273    0.0345668
     0.842554    0.0341317
     0.842835    0.0339271
     0.843116    0.0346886
     0.843397    0.0345449
     0.843678    0.0329272
     0.843959    0.0346715
     0.844240    0.0337267
     0.844522    0.0345091
     0.844803    0.0342078
     0.845085    0.0346580
     0.845366    0.0345904
     0.845648    0.0347004
     0.845930    0.0346287
     0.846213    0.0346117
     0.846494    0.0346716
     0.846776    0.0345298
     0.847058    0.0326151
     0.847341    0.0343911
     0.847623    0.0346806
     0.847906    0.0347232
     0.848189    0.0345872
     0.848471    0.0344637
     0.848754    0.0346818
     0.849037    0.0346759
     0.849320    0.0345391
     0.849603    0.0342976
     0.849886    0.0294785
     0.850170    0.0285065
     0.850453    0.0337285
     0.850736    0.0344366
     0.851020    0.0345569
     0.851304    0.0346232
     0.851587    0.0328340
     0.851871    0.0337776
     0.852156    0.0342834
     0.852439    0.0346445
     0.852723    0.0345085
     0.853008    0.0333943
     0.853292    0.0342532
     0.853577    0.0338706
     0.853861    0.0325567
     0.854146    0.0291604
     0.854431    0.0199158
     0.854715    0.0285086
     0.855000    0.0324795
     0.855285    0.0337539
     0.855570    0.0342936
     0.855856    0.0336726
     0.856141    0.0345703
     0.856426    0.0345683
     0.856712    0.0346665
     0.856997    0.0346686
     0.857283    0.0346963
     0.857569    0.0347194
     0.857854    0.0347395
     0.858140    0.0348429
     0.858426    0.0339666
     0.858712    0.0346966
     0.858999    0.0347761
     0.859285    0.0348359
     0.859572    0.0345910
     0.859858    0.0343744
     0.860145    0.0342831
     0.860432    0.0347027
     0.860718    0.0344481
     0.861005    0.0347687
     0.861292    0.0335908
     0.861579    0.0347851
     0.861867    0.0345258
     0.862154    0.0348656
     0.862441    0.0340765
     0.862729    0.0347561
     0.863016    0.0349233
     0.863304    0.0348150
     0.863591    0.0347942
     0.863880    0.0346803
     0.864167    0.0346376
     0.864455    0.0344778
     0.864743    0.0348400
     0.865032    0.0338158
     0.865321    0.0346298
     0.865609    0.0343078
     0.865897    0.0336246
     0.866186    0.0300509
     0.866475    0.0210578
     0.866764    0.0310308
     0.867053    0.0336307
     0.867342    0.0342141
     0.867631    0.0328225
     0.867920    0.0346232
     0.868209    0.0339292
     0.868499    0.0346735
     0.868788    0.0346005
     0.869078    0.0310501
     0.869367    0.0345352
     0.869657    0.0346257
     0.869947    0.0350396
     0.870237    0.0337787
     0.870528    0.0348257
     0.870817    0.0349890
     0.871107    0.0349462
     0.871398    0.0335512
     0.871688    0.0347062
     0.871979    0.0341896
     0.872269    0.0349239
     0.872560    0.0350410
     0.872851    0.0350485
     0.873142    0.0343818
     0.873433    0.0350667
     0.873724    0.0333560
     0.874015    0.0344236
     0.874307    0.0348832
     0.874599    0.0342429
     0.874890    0.0347187
     0.875181    0.0345131
     0.875473    0.0337041
     0.875766    0.0349032
     0.876058    0.0337795
     0.876350    0.0350684
     0.876641    0.0340889
     0.876933    0.0349126
     0.877225    0.0350243
     0.877518    0.0338327
     0.877810    0.0349005
     0.878103    0.0350709
     0.878396    0.0351093
     0.878689    0.0349885
     0.878982    0.0349885
     0.879275    0.0343217
     0.879568    0.0340240
     0.879861    0.0350105
     0.880154    0.0351123
     0.880448    0.0350678
     0.880741    0.0331953
     0.881034    0.0304622
     0.881328    0.0349050
     0.881622    0.0350929
     0.881916    0.0351547
     0.882209    0.0348482
