wavelength       flux
  microns         mJy
      
     0.800134  2.77406e-06
     0.800401  2.97724e-06
     0.800668  2.97003e-06
     0.800935  3.00098e-06
     0.801202  3.04710e-06
     0.801469  3.04915e-06
     0.801736  3.07443e-06
     0.802003  3.07712e-06
     0.802270  3.08347e-06
     0.802538  3.10133e-06
     0.802805  2.97844e-06
     0.803073  2.96653e-06
     0.803340  3.13837e-06
     0.803608  3.11251e-06
     0.803876  3.14520e-06
     0.804145  3.14994e-06
     0.804412  3.15399e-06
     0.804680  3.12965e-06
     0.804949  2.91565e-06
     0.805217  3.15771e-06
     0.805485  3.21373e-06
     0.805754  3.14402e-06
     0.806022  3.24938e-06
     0.806291  3.26005e-06
     0.806560  3.24253e-06
     0.806829  3.25935e-06
     0.807098  3.17093e-06
     0.807367  3.19439e-06
     0.807636  3.19502e-06
     0.807905  3.33451e-06
     0.808174  3.29839e-06
     0.808444  3.34151e-06
     0.808713  3.17891e-06
     0.808983  3.39139e-06
     0.809253  3.32848e-06
     0.809523  3.27447e-06
     0.809792  3.35164e-06
     0.810062  3.23581e-06
     0.810332  3.40375e-06
     0.810602  3.44158e-06
     0.810872  3.45525e-06
     0.811143  3.43964e-06
     0.811413  3.46333e-06
     0.811683  3.48679e-06
     0.811954  3.42927e-06
     0.812225  3.52924e-06
     0.812495  3.55610e-06
     0.812766  3.50290e-06
     0.813037  3.55859e-06
     0.813308  3.54366e-06
     0.813579  3.57781e-06
     0.813850  3.60435e-06
     0.814122  3.60324e-06
     0.814393  3.62488e-06
     0.814664  3.62671e-06
     0.814936  3.65948e-06
     0.815208  3.60231e-06
     0.815479  3.69118e-06
     0.815751  3.69081e-06
     0.816023  3.71985e-06
     0.816296  3.64438e-06
     0.816567  3.70676e-06
     0.816839  3.76417e-06
     0.817112  3.74433e-06
     0.817384  3.78632e-06
     0.817657  3.77038e-06
     0.817930  3.82232e-06
     0.818202  3.73469e-06
     0.818475  3.30287e-06
     0.818747  3.79065e-06
     0.819020  3.75617e-06
     0.819293  3.87686e-06
     0.819567  3.50248e-06
     0.819840  3.43717e-06
     0.820113  3.75127e-06
     0.820386  3.91857e-06
     0.820660  3.79626e-06
     0.820933  3.85365e-06
     0.821207  3.94785e-06
     0.821480  3.67431e-06
     0.821754  3.99225e-06
     0.822028  4.03214e-06
     0.822302  3.66199e-06
     0.822576  4.06469e-06
     0.822850  4.10394e-06
     0.823125  4.08901e-06
     0.823399  3.89817e-06
     0.823674  4.10200e-06
     0.823949  4.14425e-06
     0.824223  4.03766e-06
     0.824498  4.12274e-06
     0.824773  4.21191e-06
     0.825048  4.09358e-06
     0.825323  4.20759e-06
     0.825598  4.21587e-06
     0.825873  4.14046e-06
     0.826148  4.28230e-06
     0.826423  4.28625e-06
     0.826699  4.28231e-06
     0.826974  4.26965e-06
     0.827250  4.32091e-06
     0.827527  4.33475e-06
     0.827802  4.33864e-06
     0.828077  4.38801e-06
     0.828353  4.39260e-06
     0.828630  4.42331e-06
     0.828906  4.40013e-06
     0.829183  4.44438e-06
     0.829459  4.33001e-06
     0.829735  4.45098e-06
     0.830012  4.45719e-06
     0.830289  4.50377e-06
     0.830565  4.46324e-06
     0.830842  4.25574e-06
     0.831119  4.40855e-06
     0.831396  4.40477e-06
     0.831674  4.59177e-06
     0.831951  4.56035e-06
     0.832228  4.59849e-06
     0.832505  4.62299e-06
     0.832783  4.35148e-06
     0.833061  4.11638e-06
     0.833338  4.51508e-06
     0.833616  4.56581e-06
     0.833893  4.70951e-06
     0.834171  4.61425e-06
     0.834449  4.70319e-06
     0.834728  4.52516e-06
     0.835006  4.50409e-06
     0.835284  4.84692e-06
     0.835563  4.71081e-06
     0.835841  4.86587e-06
     0.836120  4.84039e-06
     0.836399  4.80106e-06
     0.836678  4.46764e-06
     0.836957  4.95752e-06
     0.837235  4.91974e-06
     0.837515  4.94140e-06
     0.837794  4.99927e-06
     0.838073  4.76136e-06
     0.838353  4.76125e-06
     0.838632  4.80363e-06
     0.838911  4.17231e-06
     0.839191  4.80782e-06
     0.839471  5.12919e-06
     0.839750  5.13513e-06
     0.840030  4.88967e-06
     0.840310  5.04701e-06
     0.840590  5.16892e-06
     0.840870  5.21584e-06
     0.841151  5.24330e-06
     0.841431  4.97351e-06
     0.841712  5.26420e-06
     0.841992  5.00969e-06
     0.842273  5.28999e-06
     0.842554  5.04369e-06
     0.842835  4.96489e-06
     0.843116  5.37095e-06
     0.843397  5.37901e-06
     0.843678  4.57664e-06
     0.843959  5.39927e-06
     0.844240  5.13925e-06
     0.844522  5.42825e-06
     0.844803  5.42127e-06
     0.845085  5.48755e-06
     0.845366  5.35681e-06
     0.845648  5.50884e-06
     0.845930  5.47810e-06
     0.846213  5.56782e-06
     0.846494  5.62086e-06
     0.846776  5.57637e-06
     0.847058  4.87989e-06
     0.847341  5.59061e-06
     0.847623  5.69364e-06
     0.847906  5.72860e-06
     0.848189  5.71401e-06
     0.848471  5.65215e-06
     0.848754  5.78318e-06
     0.849037  5.79825e-06
     0.849320  5.80326e-06
     0.849603  5.69115e-06
     0.849886  4.67927e-06
     0.850170  4.61344e-06
     0.850453  5.73021e-06
     0.850736  5.87645e-06
     0.851020  5.93229e-06
     0.851304  5.95587e-06
     0.851587  5.40720e-06
     0.851871  5.75530e-06
     0.852156  5.67288e-06
     0.852439  6.04353e-06
     0.852723  6.01554e-06
     0.853008  5.85531e-06
     0.853292  5.97179e-06
     0.853577  5.93644e-06
     0.853861  5.67177e-06
     0.854146  4.87879e-06
     0.854431  3.14330e-06
     0.854715  4.83807e-06
     0.855000  5.56538e-06
     0.855285  6.03645e-06
     0.855570  6.21233e-06
     0.855856  6.15729e-06
     0.856141  6.32233e-06
     0.856426  6.34833e-06
     0.856712  6.36648e-06
     0.856997  6.42693e-06
     0.857283  6.40020e-06
     0.857569  6.46972e-06
     0.857854  6.49827e-06
     0.858140  6.54389e-06
     0.858426  6.30891e-06
     0.858712  6.56758e-06
     0.858999  6.63330e-06
     0.859285  6.68900e-06
     0.859572  6.65533e-06
     0.859858  6.67804e-06
     0.860145  6.63963e-06
     0.860432  6.73578e-06
     0.860718  6.71905e-06
     0.861005  6.78372e-06
     0.861292  6.44897e-06
     0.861579  6.79854e-06
     0.861867  6.81671e-06
     0.862154  6.88409e-06
     0.862441  6.69385e-06
     0.862729  6.97125e-06
     0.863016  7.03312e-06
     0.863304  7.02420e-06
     0.863591  6.97728e-06
     0.863880  7.02669e-06
     0.864167  7.05868e-06
     0.864455  7.03466e-06
     0.864743  7.17699e-06
     0.865032  6.99766e-06
     0.865321  7.13492e-06
     0.865609  7.05531e-06
     0.865897  6.90335e-06
     0.866186  5.99039e-06
     0.866475  3.92087e-06
     0.866764  6.30262e-06
     0.867053  7.03436e-06
     0.867342  7.20378e-06
     0.867631  6.62588e-06
     0.867920  7.28067e-06
     0.868209  7.28805e-06
     0.868499  7.25917e-06
     0.868788  7.36537e-06
     0.869078  5.79857e-06
     0.869367  7.21459e-06
     0.869657  7.54185e-06
     0.869947  7.70196e-06
