wavelength       flux
  microns         mJy
      
     0.800134    0.0141677
     0.800401    0.0149769
     0.800668    0.0150124
     0.800935    0.0149866
     0.801202    0.0150942
     0.801469    0.0150670
     0.801736    0.0151248
     0.802003    0.0150840
     0.802270    0.0150904
     0.802538    0.0151203
     0.802805    0.0147793
     0.803073    0.0146115
     0.803340    0.0151314
     0.803608    0.0149925
     0.803876    0.0150857
     0.804145    0.0151088
     0.804412    0.0151106
     0.804680    0.0149434
     0.804949    0.0140329
     0.805217    0.0149769
     0.805485    0.0151118
     0.805754    0.0149206
     0.806022    0.0151554
     0.806291    0.0151478
     0.806560    0.0151124
     0.806829    0.0151395
     0.807098    0.0149267
     0.807367    0.0148213
     0.807636    0.0147310
     0.807905    0.0151806
     0.808174    0.0150457
     0.808444    0.0151231
     0.808713    0.0145241
     0.808983    0.0152086
     0.809253    0.0150089
     0.809523    0.0148399
     0.809792    0.0149753
     0.810062    0.0146524
     0.810332    0.0151499
     0.810602    0.0151489
     0.810872    0.0151643
     0.811143    0.0151158
     0.811413    0.0151572
     0.811683    0.0151424
     0.811954    0.0150487
     0.812225    0.0152193
     0.812495    0.0152464
     0.812766    0.0151505
     0.813037    0.0152084
     0.813308    0.0151604
     0.813579    0.0152510
     0.813850    0.0152096
     0.814122    0.0151883
     0.814393    0.0152174
     0.814664    0.0152320
     0.814936    0.0152426
     0.815208    0.0150391
     0.815479    0.0152527
     0.815751    0.0152231
     0.816023    0.0152755
     0.816296    0.0151234
     0.816567    0.0151623
     0.816839    0.0152846
     0.817112    0.0152328
     0.817384    0.0152860
     0.817657    0.0152272
     0.817930    0.0153081
     0.818202    0.0150843
     0.818475    0.0140665
     0.818747    0.0152364
     0.819020    0.0150740
     0.819293    0.0153415
     0.819567    0.0144911
     0.819840    0.0142438
     0.820113    0.0148675
     0.820386    0.0152677
     0.820660    0.0149693
     0.820933    0.0150067
     0.821207    0.0152536
     0.821480    0.0144248
     0.821754    0.0152686
     0.822028    0.0153555
     0.822302    0.0141691
     0.822576    0.0153519
     0.822850    0.0154101
     0.823125    0.0153279
     0.823399    0.0146756
     0.823674    0.0153261
     0.823949    0.0153646
     0.824223    0.0150152
     0.824498    0.0153220
     0.824773    0.0154362
     0.825048    0.0150412
     0.825323    0.0153597
     0.825598    0.0153930
     0.825873    0.0152871
     0.826148    0.0154251
     0.826423    0.0154326
     0.826699    0.0153760
     0.826974    0.0153515
     0.827250    0.0153965
     0.827527    0.0153793
     0.827802    0.0153693
     0.828077    0.0154425
     0.828353    0.0154270
     0.828630    0.0154641
     0.828906    0.0153694
     0.829183    0.0154447
     0.829459    0.0151237
     0.829735    0.0153664
     0.830012    0.0153794
     0.830289    0.0154305
     0.830565    0.0153628
     0.830842    0.0149316
     0.831119    0.0151508
     0.831396    0.0151955
     0.831674    0.0154616
     0.831951    0.0153236
     0.832228    0.0154147
     0.832505    0.0154608
     0.832783    0.0148764
     0.833061    0.0140402
     0.833338    0.0149975
     0.833616    0.0152578
     0.833893    0.0154535
     0.834171    0.0151954
     0.834449    0.0153782
     0.834728    0.0148821
     0.835006    0.0150610
     0.835284    0.0155463
     0.835563    0.0153595
     0.835841    0.0155321
     0.836120    0.0154271
     0.836399    0.0154034
     0.836678    0.0146741
     0.836957    0.0155779
     0.837235    0.0154820
     0.837515    0.0155059
     0.837794    0.0155670
     0.838073    0.0151185
     0.838353    0.0150645
     0.838632    0.0151321
     0.838911    0.0135799
     0.839191    0.0151658
     0.839471    0.0156107
     0.839750    0.0155954
     0.840030    0.0151312
     0.840310    0.0152870
     0.840590    0.0155646
     0.840870    0.0156005
     0.841151    0.0156219
     0.841431    0.0151226
     0.841712    0.0156083
     0.841992    0.0151797
     0.842273    0.0155753
     0.842554    0.0152212
     0.842835    0.0149859
     0.843116    0.0156463
     0.843397    0.0155955
     0.843678    0.0142536
     0.843959    0.0156365
     0.844240    0.0150561
     0.844522    0.0156019
     0.844803    0.0155143
     0.845085    0.0156149
     0.845366    0.0154765
     0.845648    0.0156399
     0.845930    0.0155740
     0.846213    0.0156280
     0.846494    0.0156728
     0.846776    0.0155841
     0.847058    0.0142079
     0.847341    0.0155171
     0.847623    0.0156826
     0.847906    0.0156894
     0.848189    0.0156309
     0.848471    0.0155279
     0.848754    0.0156781
     0.849037    0.0156624
     0.849320    0.0156315
     0.849603    0.0154583
     0.849886    0.0131236
     0.850170    0.0127466
     0.850453    0.0153260
     0.850736    0.0155847
     0.851020    0.0156581
     0.851304    0.0156635
     0.851587    0.0145365
     0.851871    0.0151619
     0.852156    0.0152062
     0.852439    0.0156600
     0.852723    0.0155972
     0.853008    0.0151711
     0.853292    0.0154592
     0.853577    0.0153006
     0.853861    0.0147148
     0.854146    0.0130383
     0.854431   0.00862789
     0.854715    0.0127889
     0.855000    0.0145219
     0.855285    0.0152692
     0.855570    0.0155277
     0.855856    0.0153495
     0.856141    0.0156591
     0.856426    0.0156617
     0.856712    0.0156934
     0.856997    0.0157099
     0.857283    0.0157074
     0.857569    0.0157210
     0.857854    0.0157368
     0.858140    0.0157992
     0.858426    0.0152899
     0.858712    0.0157390
     0.858999    0.0157900
     0.859285    0.0158264
     0.859572    0.0157364
     0.859858    0.0157373
     0.860145    0.0156304
     0.860432    0.0157929
     0.860718    0.0156906
     0.861005    0.0158004
     0.861292    0.0150777
     0.861579    0.0157481
     0.861867    0.0156704
     0.862154    0.0158194
     0.862441    0.0153664
     0.862729    0.0158041
     0.863016    0.0158668
     0.863304    0.0158278
     0.863591    0.0157875
     0.863880    0.0157691
     0.864167    0.0157650
     0.864455    0.0156787
     0.864743    0.0158525
     0.865032    0.0154920
     0.865321    0.0157381
     0.865609    0.0155682
     0.865897    0.0152489
     0.866186    0.0135544
     0.866475   0.00919096
     0.866764    0.0140688
     0.867053    0.0153058
     0.867342    0.0155702
     0.867631    0.0145866
     0.867920    0.0156395
     0.868209    0.0155368
     0.868499    0.0155770
     0.868788    0.0157042
     0.869078    0.0130996
     0.869367    0.0154888
     0.869657    0.0157770
     0.869947    0.0159475
     0.870237    0.0153332
     0.870528    0.0158501
     0.870817    0.0159336
     0.871107    0.0158965
     0.871398    0.0152586
     0.871688    0.0157566
     0.871979    0.0155290
     0.872269    0.0158827
     0.872560    0.0159449
     0.872851    0.0159743
     0.873142    0.0157630
     0.873433    0.0159784
     0.873724    0.0150237
     0.874015    0.0156891
     0.874307    0.0159045
     0.874599    0.0157698
     0.874890    0.0158936
     0.875181    0.0159453
     0.875473    0.0156327
     0.875766    0.0159921
     0.876058    0.0152778
     0.876350    0.0160344
     0.876641    0.0155102
     0.876933    0.0158357
     0.877225    0.0160101
     0.877518    0.0152219
     0.877810    0.0159579
     0.878103    0.0159562
     0.878396    0.0160480
     0.878689    0.0159911
     0.878982    0.0160050
     0.879275    0.0157455
     0.879568    0.0154824
     0.879861    0.0159897
     0.880154    0.0160413
     0.880448    0.0159541
     0.880741    0.0146501
     0.881034    0.0132919
     0.881328    0.0159009
     0.881622    0.0160374
     0.881916    0.0160780
     0.882209    0.0159369
