wavelength       flux
  microns         mJy
      
      0.80013400       1.5537510
      0.80040097       1.6446946
      0.80066800       1.6565587
      0.80093497       1.6377461
      0.80120200       1.6638069
      0.80146903       1.6552966
      0.80173600       1.6687187
      0.80200303       1.6603930
      0.80227000       1.6600294
      0.80253798       1.6663314
      0.80280501       1.6237652
      0.80307299       1.5968333
      0.80334002       1.6680101
      0.80360800       1.6333733
      0.80387598       1.6495843
      0.80414498       1.6640223
      0.80441201       1.6641695
      0.80467999       1.6374646
      0.80494899       1.5330336
      0.80521703       1.6280563
      0.80548501       1.6606689
      0.80575401       1.6262994
      0.80602199       1.6617055
      0.80629098       1.6643700
      0.80655998       1.6601264
      0.80682898       1.6659927
      0.80709797       1.6482123
      0.80736703       1.6058653
      0.80763602       1.6102369
      0.80790502       1.6675523
      0.80817401       1.6476286
      0.80844402       1.6523887
      0.80871302       1.5866753
      0.80898303       1.6714894
      0.80925298       1.6295000
      0.80952299       1.5972132
      0.80979198       1.6328237
      0.81006199       1.5905187
      0.81033200       1.6623793
      0.81060201       1.6531807
      0.81087202       1.6565255
      0.81114298       1.6504385
      0.81141299       1.6625438
      0.81168300       1.6508511
      0.81195402       1.6508122
      0.81222498       1.6669883
      0.81249499       1.6706545
      0.81276602       1.6546427
      0.81303698       1.6641847
      0.81330800       1.6562865
      0.81357902       1.6733667
      0.81384999       1.6595402
      0.81412202       1.6548464
      0.81439298       1.6596028
      0.81466401       1.6641864
      0.81493598       1.6627858
      0.81520802       1.6157498
      0.81547898       1.6634836
      0.81575102       1.6570863
      0.81602299       1.6686827
      0.81629598       1.6493042
      0.81656700       1.6388547
      0.81683898       1.6664791
      0.81711203       1.6573254
      0.81738400       1.6649323
      0.81765699       1.6557246
      0.81792998       1.6711990
      0.81820202       1.6359257
      0.81847501       1.5543482
      0.81874698       1.6657866
      0.81901997       1.6328182
      0.81929302       1.6787810
      0.81956702       1.5837548
      0.81984001       1.5649381
      0.82011300       1.6124393
      0.82038599       1.6490170
      0.82066000       1.6301110
      0.82093298       1.6255678
      0.82120699       1.6525145
      0.82147998       1.5552674
      0.82175398       1.6474700
      0.82202798       1.6760480
      0.82230198       1.5309793
      0.82257599       1.6710924
      0.82284999       1.6814846
      0.82312500       1.6651541
      0.82339901       1.5632953
      0.82367402       1.6569780
      0.82394898       1.6680732
      0.82422298       1.6363239
      0.82449800       1.6644946
      0.82477301       1.6828836
      0.82504803       1.6087079
      0.82532299       1.6587841
      0.82559800       1.6712753
      0.82587302       1.6620993
      0.82614797       1.6732982
      0.82642299       1.6777685
      0.82669902       1.6645587
      0.82697397       1.6618478
      0.82725000       1.6652977
      0.82752699       1.6605074
      0.82780200       1.6568128
      0.82807702       1.6708494
      0.82835299       1.6687217
      0.82862997       1.6771554
      0.82890600       1.6558876
      0.82918298       1.6757111
      0.82945901       1.6321043
      0.82973498       1.6500879
      0.83001202       1.6583507
      0.83028901       1.6660191
      0.83056498       1.6598083
      0.83084202       1.5922096
      0.83111900       1.6273675
      0.83139598       1.6429569
      0.83167398       1.6717405
      0.83195102       1.6395115
      0.83222800       1.6596289
      0.83250499       1.6725204
      0.83278298       1.6344007
      0.83306098       1.5439898
      0.83333802       1.6099032
      0.83361602       1.6226641
      0.83389300       1.6604941
      0.83417100       1.6225388
      0.83444899       1.6539595
      0.83472800       1.5935217
      0.83500600       1.6298283
      0.83528399       1.6784576
      0.83556300       1.6613389
      0.83584100       1.6752251
      0.83612001       1.6601260
      0.83639902       1.6581526
      0.83667803       1.6007485
      0.83695698       1.6819139
      0.83723497       1.6628002
      0.83751500       1.6649832
      0.83779401       1.6768474
      0.83807302       1.6491784
      0.83835298       1.6492990
      0.83863199       1.6508969
      0.83891100       1.5088692
      0.83919102       1.6529040
      0.83947098       1.6863002
      0.83974999       1.6813857
      0.84003001       1.6371581
      0.84030998       1.6336122
      0.84059000       1.6686022
      0.84087002       1.6785443
      0.84115100       1.6815425
      0.84143102       1.6481224
      0.84171200       1.6803680
      0.84199202       1.6216833
      0.84227300       1.6673831
      0.84255397       1.6338462
      0.84283501       1.6306291
      0.84311599       1.6843069
      0.84339702       1.6708606
      0.84367800       1.5786846
      0.84395897       1.6848494
      0.84424001       1.6142082
      0.84452200       1.6713991
      0.84480298       1.6354176
      0.84508502       1.6766874
      0.84536600       1.6759903
      0.84564799       1.6826518
      0.84592998       1.6722334
      0.84621298       1.6714837
      0.84649402       1.6800370
      0.84677601       1.6637630
      0.84705800       1.5545451
      0.84734100       1.6513884
      0.84762299       1.6841241
      0.84790599       1.6828386
      0.84818900       1.6681978
      0.84847099       1.6563912
      0.84875399       1.6798251
      0.84903699       1.6791378
      0.84931999       1.6746770
      0.84960300       1.6628918
      0.84988600       1.4080979
      0.85017002       1.3714029
      0.85045302       1.6210423
      0.85073602       1.6628888
      0.85101998       1.6723770
      0.85130399       1.6771374
      0.85158700       1.5621888
      0.85187101       1.6228116
      0.85215598       1.6557179
      0.85243899       1.6798351
      0.85272300       1.6690441
      0.85300797       1.5948908
      0.85329199       1.6559133
      0.85357702       1.6373404
      0.85386097       1.5588905
      0.85414600       1.4019523
      0.85443097      0.94723974
      0.85471499       1.3718766
      0.85500002       1.5603798
      0.85528499       1.6300738
      0.85557002       1.6625410
      0.85585600       1.6173893
      0.85614097       1.6731094
      0.85642600       1.6664148
      0.85671198       1.6740084
      0.85699701       1.6721635
      0.85728300       1.6784279
      0.85756898       1.6766362
      0.85785401       1.6793312
      0.85813999       1.6928188
      0.85842597       1.6322829
      0.85871202       1.6709858
      0.85899901       1.6785912
      0.85928500       1.6846529
      0.85957199       1.6642133
      0.85985798       1.6519737
      0.86014497       1.6474378
      0.86043203       1.6739451
      0.86071801       1.6418792
      0.86100501       1.6769469
      0.86129200       1.6074964
      0.86157900       1.6811636
      0.86186701       1.6649082
      0.86215401       1.6874182
      0.86244100       1.6403309
      0.86272901       1.6792156
      0.86301601       1.6928687
      0.86330402       1.6822369
      0.86359102       1.6816673
      0.86387998       1.6706980
      0.86416698       1.6642068
      0.86445498       1.6587138
      0.86474299       1.6912173
      0.86503202       1.6112609
      0.86532098       1.6767636
      0.86560899       1.6555409
      0.86589700       1.6247025
      0.86618602       1.4417558
      0.86647499      0.99517221
      0.86676401       1.4924963
      0.86705297       1.6196134
      0.86734200       1.6415000
      0.86763102       1.5557467
      0.86791998       1.6751160
      0.86820900       1.6085795
      0.86849898       1.6746503
      0.86878800       1.6618827
      0.86907798       1.4528620
      0.86936700       1.6597587
      0.86965698       1.6642764
      0.86994702       1.7030385
      0.87023699       1.6002445
      0.87052798       1.6792168
      0.87081701       1.6939017
      0.87110698       1.6918393
      0.87139797       1.5803502
      0.87168801       1.6731681
      0.87197900       1.6412840
      0.87226897       1.6890223
      0.87256002       1.6980348
      0.87285101       1.7013117
      0.87314200       1.6470418
      0.87343299       1.7005747
      0.87372398       1.5972031
      0.87401497       1.6526418
      0.87430698       1.6817516
      0.87459898       1.6417216
      0.87489003       1.6701555
      0.87518102       1.6614910
      0.87547302       1.6057939
