wavelength       flux
  microns         mJy
      
     0.800134     0.161081
     0.800401     0.168077
     0.800668     0.168371
     0.800935     0.168172
     0.801202     0.168718
     0.801469     0.168603
     0.801736     0.168922
     0.802003     0.168714
     0.802270     0.168784
     0.802538     0.168971
     0.802805     0.167514
     0.803073     0.165706
     0.803340     0.169070
     0.803608     0.168333
     0.803876     0.168888
     0.804145     0.169070
     0.804412     0.169127
     0.804680     0.168062
     0.804949     0.160318
     0.805217     0.168525
     0.805485     0.169137
     0.805754     0.168395
     0.806022     0.169420
     0.806291     0.169388
     0.806560     0.169273
     0.806829     0.169443
     0.807098     0.168655
     0.807367     0.167637
     0.807636     0.166427
     0.807905     0.169674
     0.808174     0.168993
     0.808444     0.169415
     0.808713     0.164464
     0.808983     0.169889
     0.809253     0.168944
     0.809523     0.168011
     0.809792     0.168598
     0.810062     0.167260
     0.810332     0.169768
     0.810602     0.169710
     0.810872     0.169816
     0.811143     0.169640
     0.811413     0.169852
     0.811683     0.169745
     0.811954     0.169541
     0.812225     0.170195
     0.812495     0.170340
     0.812766     0.169947
     0.813037     0.170226
     0.813308     0.170033
     0.813579     0.170532
     0.813850     0.170255
     0.814122     0.170203
     0.814393     0.170345
     0.814664     0.170515
     0.814936     0.170531
     0.815208     0.169521
     0.815479     0.170609
     0.815751     0.170489
     0.816023     0.170785
     0.816296     0.170157
     0.816567     0.170178
     0.816839     0.170868
     0.817112     0.170672
     0.817384     0.170930
     0.817657     0.170677
     0.817930     0.171053
     0.818202     0.169929
     0.818475     0.161770
     0.818747     0.170794
     0.819020     0.169987
     0.819293     0.171380
     0.819567     0.165612
     0.819840     0.163205
     0.820113     0.168008
     0.820386     0.171016
     0.820660     0.169272
     0.820933     0.169229
     0.821207     0.171090
     0.821480     0.165461
     0.821754     0.171122
     0.822028     0.171560
     0.822302     0.161824
     0.822576     0.171594
     0.822850     0.171915
     0.823125     0.171480
     0.823399     0.166667
     0.823674     0.171612
     0.823949     0.171757
     0.824223     0.168910
     0.824498     0.171662
     0.824773     0.172187
     0.825048     0.169530
     0.825323     0.171864
     0.825598     0.172092
     0.825873     0.171730
     0.826148     0.172229
     0.826423     0.172320
     0.826699     0.172044
     0.826974     0.171982
     0.827250     0.172187
     0.827527     0.172093
     0.827802     0.172093
     0.828077     0.172457
     0.828353     0.172399
     0.828630     0.172594
     0.828906     0.172164
     0.829183     0.172529
     0.829459     0.170382
     0.829735     0.172147
     0.830012     0.172291
     0.830289     0.172547
     0.830565     0.172342
     0.830842     0.169951
     0.831119     0.171324
     0.831396     0.171629
     0.831674     0.172794
     0.831951     0.171940
     0.832228     0.172603
     0.832505     0.172855
     0.832783     0.168731
     0.833061     0.160428
     0.833338     0.169302
     0.833616     0.172099
     0.833893     0.172901
     0.834171     0.171307
     0.834449     0.172584
     0.834728     0.169718
     0.835006     0.171248
     0.835284     0.173455
     0.835563     0.172816
     0.835841     0.173436
     0.836120     0.172879
     0.836399     0.172955
     0.836678     0.168271
     0.836957     0.173736
     0.837235     0.173284
     0.837515     0.173454
     0.837794     0.173738
     0.838073     0.171173
     0.838353     0.170938
     0.838632     0.171429
     0.838911     0.157438
     0.839191     0.171700
     0.839471     0.174026
     0.839750     0.173995
     0.840030     0.171560
     0.840310     0.171998
     0.840590     0.173956
     0.840870     0.174107
     0.841151     0.174227
     0.841431     0.171110
     0.841712     0.174200
     0.841992     0.172015
     0.842273     0.174090
     0.842554     0.172624
     0.842835     0.170247
     0.843116     0.174514
     0.843397     0.174233
     0.843678     0.164967
     0.843959     0.174461
     0.844240     0.170955
     0.844522     0.174380
     0.844803     0.173988
     0.845085     0.174488
     0.845366     0.174129
     0.845648     0.174712
     0.845930     0.174449
     0.846213     0.174619
     0.846494     0.174825
     0.846776     0.174366
     0.847058     0.163781
     0.847341     0.174028
     0.847623     0.174983
     0.847906     0.174994
     0.848189     0.174715
     0.848471     0.174216
     0.848754     0.174936
     0.849037     0.174815
     0.849320     0.174530
     0.849603     0.173307
     0.849886     0.151510
     0.850170     0.146397
     0.850453     0.172363
     0.850736     0.174292
     0.851020     0.174847
     0.851304     0.174930
     0.851587     0.165848
     0.851871     0.170899
     0.852156     0.172984
     0.852439     0.174880
     0.852723     0.174529
     0.853008     0.171667
     0.853292     0.173435
     0.853577     0.171999
     0.853861     0.167193
     0.854146     0.150664
     0.854431     0.102339
     0.854715     0.147610
     0.855000     0.166224
     0.855285     0.171845
     0.855570     0.173853
     0.855856     0.172886
     0.856141     0.175036
     0.856426     0.175187
     0.856712     0.175450
     0.856997     0.175552
     0.857283     0.175683
     0.857569     0.175695
     0.857854     0.175827
     0.858140     0.176179
     0.858426     0.172171
     0.858712     0.175935
     0.858999     0.176194
     0.859285     0.176364
     0.859572     0.175897
     0.859858     0.175845
     0.860145     0.175085
     0.860432     0.176278
     0.860718     0.175792
     0.861005     0.176425
     0.861292     0.170189
     0.861579     0.176084
     0.861867     0.175543
     0.862154     0.176599
     0.862441     0.172783
     0.862729     0.176436
     0.863016     0.176799
     0.863304     0.176626
     0.863591     0.176522
     0.863880     0.176325
     0.864167     0.176315
     0.864455     0.175654
     0.864743     0.176666
     0.865032     0.174496
     0.865321     0.175865
     0.865609     0.174633
     0.865897     0.171761
     0.866186     0.155737
     0.866475     0.109168
     0.866764     0.160755
     0.867053     0.172374
     0.867342     0.174844
     0.867631     0.167102
     0.867920     0.175605
     0.868209     0.175143
     0.868499     0.175684
     0.868788     0.176229
     0.869078     0.153977
     0.869367     0.175348
     0.869657     0.176622
     0.869947     0.177597
     0.870237     0.173830
     0.870528     0.177215
     0.870817     0.177626
     0.871107     0.177509
     0.871398     0.174111
     0.871688     0.176598
     0.871979     0.175667
     0.872269     0.177551
     0.872560     0.177835
     0.872851     0.177995
     0.873142     0.176808
     0.873433     0.178017
     0.873724     0.172268
     0.874015     0.176190
     0.874307     0.177735
     0.874599     0.176671
     0.874890     0.177570
     0.875181     0.177479
     0.875473     0.175633
     0.875766     0.178152
     0.876058     0.172230
     0.876350     0.178470
     0.876641     0.174383
     0.876933     0.177752
     0.877225     0.178393
     0.877518     0.174606
     0.877810     0.178128
     0.878103     0.178309
     0.878396     0.178663
     0.878689     0.178420
     0.878982     0.178467
     0.879275     0.176932
     0.879568     0.174178
     0.879861     0.178425
     0.880154     0.178703
     0.880448     0.178247
     0.880741     0.168942
     0.881034     0.155411
     0.881328     0.177974
     0.881622     0.178757
     0.881916     0.178975
     0.882209     0.178371
     0.882504     0.174891
     0.882798     0.166869
     0.883092     0.178968
     0.883386     0.179289
     0.883681     0.178925
     0.883976     0.172884
     0.884270     0.178615
     0.884565     0.179083
     0.884860     0.178478
     0.885155     0.179329
     0.885450     0.179504
     0.885745     0.179496
     0.886041     0.179440
     0.886336     0.178629
     0.886631     0.177063
     0.886927     0.173687
     0.887222     0.178592
     0.887518     0.179665
     0.887814     0.179152
     0.888110     0.178953
     0.888406     0.179815
     0.888702     0.179639
     0.888999     0.179867
     0.889295     0.179730
     0.889591     0.178967
     0.889887     0.179878
