No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
-9898      0.28090000       5    5883       166.43072      -77.441533      6.00
-9536      0.28090000       5    5751       166.26362      -77.409611      8.00
-25550      0.27832000       5    6063       166.71069      -77.468378      3.00
-3090      0.27577000       5    5454       166.36885      -77.394067      4.00
-17492      0.27074000       5    3865       166.42562      -77.391267      5.00
-9993      0.26336000       3    5112       166.48585      -77.393344      8.00
-6619      0.26095000       5    3489       166.42248      -77.460906      6.00
-17391      0.25855000       5    5392       166.76600      -77.424153      9.00
-10760      0.25618000       5    4614       166.79923      -77.414906     12.00
-17618      0.25384000       5    4155       166.49013      -77.369175     14.00
-4112      0.24920000       3    5127       166.64398      -77.436239      4.00
-6650      0.24920000       5    5709       166.72534      -77.446958      5.00
-9950      0.24920000       5    5994       166.46597      -77.399225     11.00
-3261      0.23150000       4    6043       166.63188      -77.430636      3.00
-25303      0.22938000       5    6044       166.92845      -77.436447      2.00
-17463      0.22938000       5    4056       166.91510      -77.399531     12.00
-9440      0.22728000       5    5600       166.21472      -77.408886      4.00
-17465      0.22728000       4    6128       166.39103      -77.397981      7.00
-2566      0.22108000       5    5965       166.41771      -77.387089      1.00
-6611      0.22108000       5    4095       166.49439      -77.463064      9.00
-17755      0.21705000       5    5284       166.64518      -77.352917      6.00
-10619      0.21705000       5    3440       166.75187      -77.369717     41.00
-6637      0.21308000       4    6083       166.76675      -77.452578     14.00
-6626      0.21113000       4    6126       166.86218      -77.456461      6.00
-6576      0.20920000       4    6080       166.60812      -77.476392     23.00
-23649      0.20920000       5    4045       166.89178      -77.421481      7.00
-10605      0.20538000       5    4155       166.75599      -77.345781     13.00
-17493      0.20349000       5    4296       166.21526      -77.390439      9.00
-2559      0.19978000       5    5324       166.42515      -77.387953      2.00
-17748      0.19978000       4    6063       166.59527      -77.353372     10.00
-6606      0.19795000       5    4355       166.45783      -77.467181      8.00
-10327      0.19795000       5    4143       166.64490      -77.334028     22.00
-3448      0.19613000       5    3878       166.26766      -77.366550      2.00
-17850      0.19613000       5    5049       166.46971      -77.343297      5.00
-17657      0.19613000       5    5232       166.25742      -77.363444     34.00
-9852      0.19434000       5    3207       166.42160      -77.399078     39.00
-6638      0.18731000       5    5392       166.77097      -77.452153     17.00
-10634      0.18731000       5    4599       166.75941      -77.370028     32.00
-6891      0.18559000       5    5909       166.81868      -77.457328      3.00
-9992      0.18559000       5    6191       166.46912      -77.443122     21.00
-9812      0.18389000       5    3801       166.42665      -77.326936      8.00
-6687      0.18389000       5    5333       166.89153      -77.414947     15.00
-9618      0.17888000       5    4039       166.31249      -77.405208     14.00
-10654      0.17888000       5    5767       166.75810      -77.403814     19.00
-10700      0.17724000       5    3664       166.79936      -77.334550     13.00
-9582      0.17561000       5    3275       166.28876      -77.416369     11.00
-17861      0.17561000       5    5489       166.37483      -77.341875     22.00
-10936      0.17400000       5    5853       166.90101      -77.388306     10.00
-9666      0.17400000       5    4049       166.32222      -77.433347     10.00
-9790      0.17241000       5    5139       166.39190      -77.406486     12.00
-17803      0.17083000       5    4457       166.44985      -77.349053     20.00
-6692      0.16771000       5    3771       166.89109      -77.412694      8.00
-9744      0.16771000       5    6047       166.36711      -77.416583     12.00
-9541      0.16617000       5    4817       166.27122      -77.394500     15.00
-10322      0.16617000       5    3440       166.61617      -77.415092     97.00
-10511      0.16617000       5    5782       166.71458      -77.346517     10.00
